year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2015,COLORADO,CO,Semi-Arid Continental,362000,350000,62.6,21900000
2015,ILLINOIS,IL,Temperate Humid,11700000,11500000,175.0,2012500000
2015,INDIANA,IN,Temperate Humid,5650000,5480000,150.0,822000000
2015,IOWA,IA,Temperate Humid,13500000,13050000,192.0,2505600000
2015,KANSAS,KS,Semi-Arid Continental,2655000,2518000,115.5,290806000
2015,KENTUCKY,KY,Subtropical Humid,1400000,1310000,172.0,225320000
2015,MICHIGAN,MI,Temperate Humid,2350000,2070000,162.0,335340000
2015,MINNESOTA,MN,Temperate Humid,8100000,7600000,188.0,1428800000
2015,MISSOURI,MO,Temperate Humid,3250000,3080000,142.0,437360000
2015,NEBRASKA,NE,Semi-Arid Continental,3880000,3783000,153.7,581324000
2015,NORTH CAROLINA,NC,Subtropical Humid,790000,730000,113.0,82490000
2015,NORTH DAKOTA,ND,Semi-Arid Continental,2750000,2560000,128.0,327680000
2015,OHIO,OH,Temperate Humid,3550000,3260000,153.0,498780000
2015,PENNSYLVANIA,PA,Temperate Humid,1340000,940000,147.0,138180000
2015,SOUTH DAKOTA,SD,Semi-Arid Continental,5400000,5030000,159.0,799770000
2015,TENNESSEE,TN,Subtropical Humid,780000,730000,160.0,116800000
2015,TEXAS,TX,Semi-Arid Continental,970000,885000,75.0,66400000
2015,WISCONSIN,WI,Temperate Humid,4000000,3000000,164.0,492000000
