year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2005,OHIO,OH,2005-05-22,20,8.0,40.0,35.0,11.0,6.0
2005,OHIO,OH,2005-05-29,21,8.0,44.0,34.0,11.0,3.0
2005,OHIO,OH,2005-06-05,22,8.0,46.0,34.0,9.0,3.0
2005,OHIO,OH,2005-06-12,23,10.0,45.0,33.0,9.0,3.0
2005,OHIO,OH,2005-06-19,24,13.0,47.0,29.0,8.0,3.0
2005,OHIO,OH,2005-06-26,25,10.0,44.0,33.0,10.0,3.0
2005,OHIO,OH,2005-07-03,26,10.0,44.0,33.0,10.0,3.0
2005,OHIO,OH,2005-07-10,27,10.0,40.0,34.0,12.0,4.0
2005,OHIO,OH,2005-07-17,28,7.0,36.0,34.0,17.0,6.0
2005,OHIO,OH,2005-07-24,29,9.0,38.0,34.0,13.0,6.0
2005,OHIO,OH,2005-07-31,30,11.0,41.0,32.0,11.0,5.0
2005,OHIO,OH,2005-08-07,31,9.0,39.0,33.0,13.0,6.0
2005,OHIO,OH,2005-08-14,32,7.0,35.0,35.0,16.0,7.0
2005,OHIO,OH,2005-08-21,33,9.0,35.0,35.0,14.0,7.0
2005,OHIO,OH,2005-08-28,34,8.0,34.0,36.0,15.0,7.0
2005,OHIO,OH,2005-09-04,35,8.0,36.0,36.0,14.0,6.0
2005,OHIO,OH,2005-09-11,36,8.0,38.0,35.0,13.0,6.0
2005,OHIO,OH,2005-09-18,37,7.0,36.0,36.0,15.0,6.0
2005,OHIO,OH,2005-09-25,38,8.0,38.0,35.0,14.0,5.0
2005,OHIO,OH,2005-10-02,39,11.0,36.0,35.0,13.0,5.0
2005,OHIO,OH,2005-10-09,40,9.0,40.0,35.0,12.0,4.0
2005,OHIO,OH,2005-10-16,41,9.0,39.0,36.0,13.0,3.0
