year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2007,MINNESOTA,MN,2007-05-20,20,28.0,63.0,9.0,0.0,0.0
2007,MINNESOTA,MN,2007-05-27,21,26.0,56.0,15.0,2.0,1.0
2007,MINNESOTA,MN,2007-06-03,22,24.0,63.0,11.0,2.0,0.0
2007,MINNESOTA,MN,2007-06-10,23,26.0,57.0,12.0,4.0,1.0
2007,MINNESOTA,MN,2007-06-17,24,29.0,55.0,11.0,5.0,0.0
2007,MINNESOTA,MN,2007-06-24,25,27.0,56.0,14.0,2.0,1.0
2007,MINNESOTA,MN,2007-07-01,26,21.0,53.0,18.0,6.0,2.0
2007,MINNESOTA,MN,2007-07-08,27,19.0,48.0,20.0,7.0,6.0
2007,MINNESOTA,MN,2007-07-15,28,11.0,39.0,31.0,12.0,7.0
2007,MINNESOTA,MN,2007-07-22,29,7.0,33.0,34.0,16.0,10.0
2007,MINNESOTA,MN,2007-07-29,30,3.0,27.0,33.0,24.0,13.0
2007,MINNESOTA,MN,2007-08-05,31,4.0,21.0,31.0,26.0,18.0
2007,MINNESOTA,MN,2007-08-12,32,5.0,28.0,30.0,22.0,15.0
2007,MINNESOTA,MN,2007-08-19,33,6.0,27.0,31.0,21.0,15.0
2007,MINNESOTA,MN,2007-08-26,34,7.0,33.0,31.0,16.0,13.0
2007,MINNESOTA,MN,2007-09-02,35,6.0,39.0,29.0,15.0,11.0
2007,MINNESOTA,MN,2007-09-09,36,9.0,30.0,34.0,15.0,12.0
2007,MINNESOTA,MN,2007-09-16,37,8.0,32.0,33.0,15.0,12.0
2007,MINNESOTA,MN,2007-09-23,38,7.0,36.0,33.0,14.0,10.0
2007,MINNESOTA,MN,2007-09-30,39,8.0,38.0,30.0,14.0,10.0
2007,MINNESOTA,MN,2007-10-07,40,9.0,37.0,32.0,12.0,10.0
2007,MINNESOTA,MN,2007-10-14,41,8.0,39.0,30.0,13.0,10.0
