year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2008,COLORADO,CO,2008-06-01,22,12.0,33.0,41.0,10.0,4.0
2008,COLORADO,CO,2008-06-08,23,20.0,30.0,38.0,8.0,4.0
2008,COLORADO,CO,2008-06-15,24,26.0,33.0,28.0,8.0,5.0
2008,COLORADO,CO,2008-06-22,25,25.0,34.0,27.0,9.0,5.0
2008,COLORADO,CO,2008-06-29,26,28.0,38.0,20.0,9.0,5.0
2008,COLORADO,CO,2008-07-06,27,17.0,35.0,32.0,11.0,5.0
2008,COLORADO,CO,2008-07-13,28,19.0,34.0,31.0,10.0,6.0
2008,COLORADO,CO,2008-07-20,29,19.0,32.0,32.0,11.0,6.0
2008,COLORADO,CO,2008-07-27,30,15.0,33.0,31.0,15.0,6.0
2008,COLORADO,CO,2008-08-03,31,13.0,31.0,32.0,15.0,9.0
2008,COLORADO,CO,2008-08-10,32,13.0,32.0,33.0,14.0,8.0
2008,COLORADO,CO,2008-08-17,33,13.0,33.0,33.0,14.0,7.0
2008,COLORADO,CO,2008-08-24,34,11.0,34.0,34.0,14.0,7.0
2008,COLORADO,CO,2008-08-31,35,15.0,44.0,30.0,7.0,4.0
2008,COLORADO,CO,2008-09-07,36,14.0,36.0,30.0,13.0,7.0
2008,COLORADO,CO,2008-09-14,37,22.0,32.0,30.0,11.0,5.0
2008,COLORADO,CO,2008-09-21,38,22.0,32.0,30.0,11.0,5.0
2008,COLORADO,CO,2008-09-28,39,25.0,29.0,31.0,11.0,4.0
2008,COLORADO,CO,2008-10-05,40,25.0,28.0,32.0,11.0,4.0
2008,COLORADO,CO,2008-10-12,41,25.0,29.0,31.0,11.0,4.0
2008,COLORADO,CO,2008-10-19,42,26.0,30.0,31.0,9.0,4.0
2008,COLORADO,CO,2008-10-26,43,24.0,28.0,33.0,11.0,4.0
2008,COLORADO,CO,2008-11-02,44,25.0,28.0,32.0,11.0,4.0
