year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2009,TENNESSEE,TN,2009-05-31,22,6.0,42.0,32.0,13.0,7.0
2009,TENNESSEE,TN,2009-06-07,23,8.0,42.0,30.0,12.0,8.0
2009,TENNESSEE,TN,2009-06-14,24,11.0,44.0,27.0,11.0,7.0
2009,TENNESSEE,TN,2009-06-21,25,12.0,46.0,26.0,10.0,6.0
2009,TENNESSEE,TN,2009-06-28,26,12.0,45.0,27.0,10.0,6.0
2009,TENNESSEE,TN,2009-07-05,27,9.0,44.0,25.0,14.0,8.0
2009,TENNESSEE,TN,2009-07-12,28,12.0,43.0,26.0,12.0,7.0
2009,TENNESSEE,TN,2009-07-19,29,13.0,48.0,24.0,9.0,6.0
2009,TENNESSEE,TN,2009-07-26,30,17.0,47.0,22.0,9.0,5.0
2009,TENNESSEE,TN,2009-08-02,31,22.0,50.0,19.0,6.0,3.0
2009,TENNESSEE,TN,2009-08-09,32,24.0,50.0,17.0,6.0,3.0
2009,TENNESSEE,TN,2009-08-16,33,24.0,51.0,16.0,6.0,3.0
2009,TENNESSEE,TN,2009-08-23,34,25.0,53.0,14.0,5.0,3.0
2009,TENNESSEE,TN,2009-08-30,35,25.0,53.0,14.0,5.0,3.0
2009,TENNESSEE,TN,2009-09-06,36,25.0,53.0,14.0,5.0,3.0
2009,TENNESSEE,TN,2009-09-13,37,26.0,52.0,14.0,5.0,3.0
2009,TENNESSEE,TN,2009-09-20,38,26.0,52.0,14.0,5.0,3.0
2009,TENNESSEE,TN,2009-09-27,39,26.0,52.0,14.0,5.0,3.0
2009,TENNESSEE,TN,2009-10-04,40,26.0,52.0,14.0,5.0,3.0
2009,TENNESSEE,TN,2009-10-11,41,26.0,52.0,14.0,5.0,3.0
2009,TENNESSEE,TN,2009-10-18,42,26.0,52.0,14.0,5.0,3.0
2009,TENNESSEE,TN,2009-10-25,43,26.0,52.0,14.0,5.0,3.0
2009,TENNESSEE,TN,2009-11-01,44,26.0,52.0,14.0,5.0,3.0
2009,TENNESSEE,TN,2009-11-08,45,26.0,52.0,14.0,5.0,3.0
2009,TENNESSEE,TN,2009-11-15,46,26.0,52.0,14.0,5.0,3.0
