year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2011,SOUTH DAKOTA,SD,2011-05-29,21,11.0,67.0,17.0,4.0,1.0
2011,SOUTH DAKOTA,SD,2011-06-05,22,11.0,62.0,23.0,3.0,1.0
2011,SOUTH DAKOTA,SD,2011-06-12,23,10.0,67.0,19.0,3.0,1.0
2011,SOUTH DAKOTA,SD,2011-06-19,24,11.0,64.0,20.0,4.0,1.0
2011,SOUTH DAKOTA,SD,2011-06-26,25,11.0,65.0,19.0,4.0,1.0
2011,SOUTH DAKOTA,SD,2011-07-03,26,13.0,56.0,23.0,6.0,2.0
2011,SOUTH DAKOTA,SD,2011-07-10,27,16.0,60.0,18.0,4.0,2.0
2011,SOUTH DAKOTA,SD,2011-07-17,28,19.0,59.0,15.0,5.0,2.0
2011,SOUTH DAKOTA,SD,2011-07-24,29,16.0,62.0,16.0,4.0,2.0
2011,SOUTH DAKOTA,SD,2011-07-31,30,22.0,53.0,18.0,5.0,2.0
2011,SOUTH DAKOTA,SD,2011-08-07,31,20.0,58.0,17.0,4.0,1.0
2011,SOUTH DAKOTA,SD,2011-08-14,32,22.0,55.0,18.0,3.0,2.0
2011,SOUTH DAKOTA,SD,2011-08-21,33,20.0,55.0,19.0,4.0,2.0
2011,SOUTH DAKOTA,SD,2011-08-28,34,21.0,52.0,20.0,4.0,3.0
2011,SOUTH DAKOTA,SD,2011-09-04,35,16.0,52.0,23.0,7.0,2.0
2011,SOUTH DAKOTA,SD,2011-09-11,36,16.0,51.0,24.0,7.0,2.0
2011,SOUTH DAKOTA,SD,2011-09-18,37,18.0,52.0,22.0,6.0,2.0
2011,SOUTH DAKOTA,SD,2011-09-25,38,16.0,50.0,23.0,9.0,2.0
2011,SOUTH DAKOTA,SD,2011-10-02,39,15.0,51.0,24.0,8.0,2.0
2011,SOUTH DAKOTA,SD,2011-10-09,40,17.0,52.0,25.0,4.0,2.0
2011,SOUTH DAKOTA,SD,2011-10-16,41,17.0,53.0,24.0,5.0,1.0
2011,SOUTH DAKOTA,SD,2011-10-23,42,21.0,51.0,23.0,4.0,1.0
