year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2011,TEXAS,TX,2011-05-29,21,2.0,24.0,43.0,11.0,20.0
2011,TEXAS,TX,2011-06-05,22,2.0,23.0,39.0,14.0,22.0
2011,TEXAS,TX,2011-06-12,23,3.0,23.0,34.0,14.0,26.0
2011,TEXAS,TX,2011-06-19,24,2.0,20.0,37.0,19.0,22.0
2011,TEXAS,TX,2011-06-26,25,2.0,20.0,27.0,20.0,31.0
2011,TEXAS,TX,2011-07-03,26,1.0,16.0,30.0,27.0,26.0
2011,TEXAS,TX,2011-07-10,27,0.0,13.0,25.0,27.0,35.0
2011,TEXAS,TX,2011-07-17,28,0.0,12.0,23.0,30.0,35.0
2011,TEXAS,TX,2011-07-24,29,0.0,7.0,22.0,32.0,39.0
2011,TEXAS,TX,2011-07-31,30,0.0,9.0,21.0,34.0,36.0
2011,TEXAS,TX,2011-08-07,31,0.0,8.0,20.0,32.0,40.0
2011,TEXAS,TX,2011-08-14,32,0.0,10.0,22.0,35.0,33.0
2011,TEXAS,TX,2011-08-21,33,0.0,10.0,22.0,35.0,33.0
2011,TEXAS,TX,2011-08-28,34,0.0,10.0,22.0,35.0,33.0
2011,TEXAS,TX,2011-09-04,35,0.0,10.0,22.0,35.0,33.0
2011,TEXAS,TX,2011-09-11,36,0.0,10.0,22.0,35.0,33.0
2011,TEXAS,TX,2011-09-18,37,0.0,10.0,22.0,35.0,33.0
2011,TEXAS,TX,2011-09-25,38,0.0,10.0,22.0,35.0,33.0
2011,TEXAS,TX,2011-10-02,39,0.0,10.0,22.0,35.0,33.0
2011,TEXAS,TX,2011-10-09,40,0.0,10.0,22.0,35.0,33.0
2011,TEXAS,TX,2011-10-16,41,0.0,10.0,22.0,35.0,33.0
2011,TEXAS,TX,2011-10-23,42,0.0,10.0,22.0,35.0,33.0
