year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2012,OHIO,OH,2012-05-20,20,19.0,58.0,21.0,2.0,0.0
2012,OHIO,OH,2012-05-27,21,16.0,56.0,24.0,4.0,0.0
2012,OHIO,OH,2012-06-03,22,18.0,49.0,27.0,5.0,1.0
2012,OHIO,OH,2012-06-10,23,13.0,51.0,29.0,6.0,1.0
2012,OHIO,OH,2012-06-17,24,11.0,42.0,36.0,9.0,2.0
2012,OHIO,OH,2012-06-24,25,9.0,42.0,34.0,12.0,3.0
2012,OHIO,OH,2012-07-01,26,4.0,29.0,41.0,18.0,8.0
2012,OHIO,OH,2012-07-08,27,3.0,25.0,36.0,24.0,12.0
2012,OHIO,OH,2012-07-15,28,1.0,18.0,34.0,28.0,19.0
2012,OHIO,OH,2012-07-22,29,1.0,14.0,33.0,31.0,21.0
2012,OHIO,OH,2012-07-29,30,1.0,15.0,34.0,30.0,20.0
2012,OHIO,OH,2012-08-05,31,1.0,13.0,34.0,33.0,19.0
2012,OHIO,OH,2012-08-12,32,2.0,12.0,33.0,30.0,23.0
2012,OHIO,OH,2012-08-19,33,2.0,12.0,32.0,33.0,21.0
2012,OHIO,OH,2012-08-26,34,0.0,10.0,33.0,30.0,27.0
2012,OHIO,OH,2012-09-02,35,1.0,10.0,31.0,34.0,24.0
2012,OHIO,OH,2012-09-09,36,1.0,12.0,30.0,34.0,23.0
2012,OHIO,OH,2012-09-16,37,1.0,13.0,28.0,35.0,23.0
2012,OHIO,OH,2012-09-23,38,1.0,15.0,30.0,31.0,23.0
2012,OHIO,OH,2012-09-30,39,1.0,15.0,33.0,29.0,22.0
