year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2013,ILLINOIS,IL,2013-06-02,22,11.0,48.0,31.0,8.0,2.0
2013,ILLINOIS,IL,2013-06-09,23,11.0,47.0,29.0,10.0,3.0
2013,ILLINOIS,IL,2013-06-16,24,13.0,44.0,32.0,9.0,2.0
2013,ILLINOIS,IL,2013-06-23,25,17.0,50.0,24.0,7.0,2.0
2013,ILLINOIS,IL,2013-06-30,26,17.0,52.0,24.0,5.0,2.0
2013,ILLINOIS,IL,2013-07-07,27,17.0,51.0,24.0,6.0,2.0
2013,ILLINOIS,IL,2013-07-14,28,19.0,50.0,25.0,5.0,1.0
2013,ILLINOIS,IL,2013-07-21,29,19.0,46.0,27.0,7.0,1.0
2013,ILLINOIS,IL,2013-07-28,30,16.0,48.0,27.0,7.0,2.0
2013,ILLINOIS,IL,2013-08-04,31,24.0,48.0,22.0,5.0,1.0
2013,ILLINOIS,IL,2013-08-11,32,20.0,48.0,25.0,5.0,2.0
2013,ILLINOIS,IL,2013-08-18,33,18.0,46.0,26.0,8.0,2.0
2013,ILLINOIS,IL,2013-08-25,34,14.0,45.0,28.0,10.0,3.0
2013,ILLINOIS,IL,2013-09-01,35,11.0,46.0,29.0,11.0,3.0
2013,ILLINOIS,IL,2013-09-08,36,11.0,44.0,31.0,11.0,3.0
2013,ILLINOIS,IL,2013-09-15,37,13.0,43.0,31.0,10.0,3.0
2013,ILLINOIS,IL,2013-09-22,38,10.0,48.0,30.0,9.0,3.0
2013,ILLINOIS,IL,2013-09-29,39,17.0,45.0,28.0,8.0,2.0
2013,ILLINOIS,IL,2013-10-20,42,21.0,47.0,24.0,6.0,2.0
2013,ILLINOIS,IL,2013-10-27,43,21.0,47.0,24.0,6.0,2.0
