year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2013,NORTH DAKOTA,ND,2013-06-02,22,14.0,52.0,31.0,2.0,1.0
2013,NORTH DAKOTA,ND,2013-06-09,23,14.0,55.0,26.0,3.0,2.0
2013,NORTH DAKOTA,ND,2013-06-16,24,14.0,65.0,19.0,2.0,0.0
2013,NORTH DAKOTA,ND,2013-06-23,25,14.0,57.0,23.0,4.0,2.0
2013,NORTH DAKOTA,ND,2013-06-30,26,15.0,59.0,22.0,3.0,1.0
2013,NORTH DAKOTA,ND,2013-07-07,27,15.0,61.0,18.0,4.0,2.0
2013,NORTH DAKOTA,ND,2013-07-14,28,14.0,57.0,22.0,5.0,2.0
2013,NORTH DAKOTA,ND,2013-07-21,29,16.0,52.0,26.0,5.0,1.0
2013,NORTH DAKOTA,ND,2013-07-28,30,12.0,58.0,21.0,7.0,2.0
2013,NORTH DAKOTA,ND,2013-08-04,31,12.0,55.0,23.0,7.0,3.0
2013,NORTH DAKOTA,ND,2013-08-11,32,9.0,51.0,28.0,9.0,3.0
2013,NORTH DAKOTA,ND,2013-08-18,33,9.0,48.0,32.0,9.0,2.0
2013,NORTH DAKOTA,ND,2013-08-25,34,5.0,42.0,34.0,15.0,4.0
2013,NORTH DAKOTA,ND,2013-09-01,35,6.0,35.0,38.0,16.0,5.0
2013,NORTH DAKOTA,ND,2013-09-08,36,6.0,34.0,40.0,16.0,4.0
2013,NORTH DAKOTA,ND,2013-09-15,37,7.0,37.0,39.0,14.0,3.0
2013,NORTH DAKOTA,ND,2013-09-22,38,9.0,38.0,36.0,14.0,3.0
2013,NORTH DAKOTA,ND,2013-09-29,39,8.0,36.0,39.0,14.0,3.0
2013,NORTH DAKOTA,ND,2013-10-20,42,7.0,43.0,37.0,10.0,3.0
2013,NORTH DAKOTA,ND,2013-10-27,43,10.0,41.0,36.0,10.0,3.0
