year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2016,MISSOURI,MO,2016-04-24,16,5.0,70.0,23.0,2.0,0.0
2016,MISSOURI,MO,2016-05-01,17,5.0,70.0,22.0,3.0,0.0
2016,MISSOURI,MO,2016-05-08,18,6.0,68.0,22.0,4.0,0.0
2016,MISSOURI,MO,2016-05-15,19,7.0,67.0,22.0,4.0,0.0
2016,MISSOURI,MO,2016-05-22,20,8.0,67.0,22.0,3.0,0.0
2016,MISSOURI,MO,2016-05-29,21,9.0,65.0,22.0,4.0,0.0
2016,MISSOURI,MO,2016-06-05,22,13.0,58.0,23.0,5.0,1.0
2016,MISSOURI,MO,2016-06-12,23,13.0,59.0,23.0,4.0,1.0
2016,MISSOURI,MO,2016-06-19,24,9.0,57.0,28.0,5.0,1.0
2016,MISSOURI,MO,2016-06-26,25,10.0,53.0,28.0,7.0,2.0
2016,MISSOURI,MO,2016-07-03,26,14.0,53.0,26.0,5.0,2.0
2016,MISSOURI,MO,2016-07-10,27,16.0,55.0,22.0,5.0,2.0
2016,MISSOURI,MO,2016-07-17,28,18.0,55.0,21.0,4.0,2.0
2016,MISSOURI,MO,2016-07-24,29,19.0,55.0,20.0,4.0,2.0
2016,MISSOURI,MO,2016-07-31,30,19.0,57.0,18.0,4.0,2.0
2016,MISSOURI,MO,2016-08-07,31,20.0,55.0,19.0,4.0,2.0
2016,MISSOURI,MO,2016-08-14,32,22.0,54.0,18.0,4.0,2.0
2016,MISSOURI,MO,2016-08-21,33,22.0,53.0,18.0,5.0,2.0
2016,MISSOURI,MO,2016-08-28,34,21.0,55.0,17.0,5.0,2.0
2016,MISSOURI,MO,2016-09-04,35,21.0,54.0,18.0,5.0,2.0
2016,MISSOURI,MO,2016-09-11,36,21.0,54.0,18.0,5.0,2.0
2016,MISSOURI,MO,2016-09-18,37,21.0,53.0,19.0,5.0,2.0
2016,MISSOURI,MO,2016-09-25,38,21.0,55.0,18.0,4.0,2.0
2016,MISSOURI,MO,2016-10-02,39,21.0,54.0,18.0,5.0,2.0
2016,MISSOURI,MO,2016-10-09,40,21.0,54.0,18.0,5.0,2.0
2016,MISSOURI,MO,2016-10-16,41,21.0,54.0,18.0,5.0,2.0
