year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2018,INDIANA,IN,2018-05-20,20,17.0,66.0,14.0,2.0,1.0
2018,INDIANA,IN,2018-05-27,21,15.0,63.0,17.0,4.0,1.0
2018,INDIANA,IN,2018-06-03,22,16.0,61.0,18.0,4.0,1.0
2018,INDIANA,IN,2018-06-10,23,18.0,57.0,20.0,4.0,1.0
2018,INDIANA,IN,2018-06-17,24,20.0,56.0,19.0,4.0,1.0
2018,INDIANA,IN,2018-06-24,25,20.0,56.0,19.0,4.0,1.0
2018,INDIANA,IN,2018-07-01,26,20.0,56.0,19.0,4.0,1.0
2018,INDIANA,IN,2018-07-08,27,21.0,55.0,18.0,4.0,2.0
2018,INDIANA,IN,2018-07-15,28,20.0,52.0,20.0,6.0,2.0
2018,INDIANA,IN,2018-07-22,29,19.0,53.0,20.0,6.0,2.0
2018,INDIANA,IN,2018-07-29,30,18.0,51.0,22.0,6.0,3.0
2018,INDIANA,IN,2018-08-05,31,19.0,52.0,21.0,6.0,2.0
2018,INDIANA,IN,2018-08-12,32,19.0,52.0,20.0,7.0,2.0
2018,INDIANA,IN,2018-08-19,33,19.0,52.0,20.0,7.0,2.0
2018,INDIANA,IN,2018-08-26,34,20.0,50.0,21.0,7.0,2.0
2018,INDIANA,IN,2018-09-02,35,19.0,53.0,20.0,6.0,2.0
2018,INDIANA,IN,2018-09-09,36,20.0,52.0,20.0,6.0,2.0
2018,INDIANA,IN,2018-09-16,37,20.0,51.0,21.0,6.0,2.0
2018,INDIANA,IN,2018-09-23,38,20.0,53.0,19.0,6.0,2.0
2018,INDIANA,IN,2018-09-30,39,22.0,52.0,18.0,6.0,2.0
2018,INDIANA,IN,2018-10-07,40,21.0,51.0,20.0,6.0,2.0
2018,INDIANA,IN,2018-10-14,41,21.0,52.0,19.0,6.0,2.0
2018,INDIANA,IN,2018-10-21,42,20.0,50.0,21.0,7.0,2.0
