year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2018,NORTH CAROLINA,NC,2018-04-29,17,11.0,69.0,19.0,1.0,0.0
2018,NORTH CAROLINA,NC,2018-05-06,18,10.0,67.0,21.0,2.0,0.0
2018,NORTH CAROLINA,NC,2018-05-13,19,12.0,69.0,16.0,3.0,0.0
2018,NORTH CAROLINA,NC,2018-05-20,20,11.0,59.0,22.0,7.0,1.0
2018,NORTH CAROLINA,NC,2018-05-27,21,15.0,60.0,19.0,6.0,0.0
2018,NORTH CAROLINA,NC,2018-06-03,22,9.0,58.0,23.0,8.0,2.0
2018,NORTH CAROLINA,NC,2018-06-10,23,7.0,47.0,29.0,12.0,5.0
2018,NORTH CAROLINA,NC,2018-06-17,24,7.0,46.0,30.0,13.0,4.0
2018,NORTH CAROLINA,NC,2018-06-24,25,6.0,45.0,31.0,14.0,4.0
2018,NORTH CAROLINA,NC,2018-07-01,26,6.0,45.0,30.0,16.0,3.0
2018,NORTH CAROLINA,NC,2018-07-08,27,4.0,36.0,34.0,21.0,5.0
2018,NORTH CAROLINA,NC,2018-07-15,28,4.0,32.0,37.0,20.0,7.0
2018,NORTH CAROLINA,NC,2018-07-22,29,3.0,23.0,34.0,26.0,14.0
2018,NORTH CAROLINA,NC,2018-07-29,30,3.0,26.0,34.0,28.0,9.0
2018,NORTH CAROLINA,NC,2018-08-05,31,2.0,32.0,36.0,24.0,6.0
2018,NORTH CAROLINA,NC,2018-08-12,32,4.0,31.0,35.0,21.0,9.0
2018,NORTH CAROLINA,NC,2018-08-19,33,7.0,28.0,34.0,20.0,11.0
2018,NORTH CAROLINA,NC,2018-08-26,34,6.0,29.0,34.0,19.0,12.0
2018,NORTH CAROLINA,NC,2018-09-02,35,4.0,32.0,34.0,19.0,11.0
2018,NORTH CAROLINA,NC,2018-09-09,36,6.0,35.0,31.0,20.0,8.0
2018,NORTH CAROLINA,NC,2018-09-16,37,6.0,27.0,36.0,20.0,11.0
2018,NORTH CAROLINA,NC,2018-09-23,38,6.0,27.0,36.0,20.0,11.0
2018,NORTH CAROLINA,NC,2018-09-30,39,6.0,27.0,36.0,20.0,11.0
2018,NORTH CAROLINA,NC,2018-10-07,40,6.0,27.0,36.0,20.0,11.0
2018,NORTH CAROLINA,NC,2018-10-14,41,6.0,27.0,36.0,20.0,11.0
2018,NORTH CAROLINA,NC,2018-10-21,42,6.0,27.0,36.0,20.0,11.0
