year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2019,IOWA,IA,2019-06-02,22,6.0,45.0,38.0,8.0,3.0
2019,IOWA,IA,2019-06-09,23,7.0,51.0,32.0,8.0,2.0
2019,IOWA,IA,2019-06-16,24,8.0,51.0,32.0,7.0,2.0
2019,IOWA,IA,2019-06-23,25,10.0,52.0,30.0,6.0,2.0
2019,IOWA,IA,2019-06-30,26,11.0,53.0,28.0,6.0,2.0
2019,IOWA,IA,2019-07-07,27,11.0,50.0,29.0,7.0,3.0
2019,IOWA,IA,2019-07-14,28,10.0,52.0,28.0,7.0,3.0
2019,IOWA,IA,2019-07-21,29,11.0,52.0,28.0,7.0,2.0
2019,IOWA,IA,2019-07-28,30,12.0,53.0,27.0,6.0,2.0
2019,IOWA,IA,2019-08-04,31,12.0,54.0,26.0,6.0,2.0
2019,IOWA,IA,2019-08-11,32,11.0,54.0,26.0,7.0,2.0
2019,IOWA,IA,2019-08-18,33,11.0,54.0,25.0,7.0,3.0
2019,IOWA,IA,2019-08-25,34,11.0,54.0,26.0,7.0,2.0
2019,IOWA,IA,2019-09-01,35,11.0,51.0,27.0,8.0,3.0
2019,IOWA,IA,2019-09-08,36,11.0,52.0,26.0,8.0,3.0
2019,IOWA,IA,2019-09-15,37,12.0,53.0,26.0,7.0,2.0
2019,IOWA,IA,2019-09-22,38,12.0,53.0,26.0,7.0,2.0
2019,IOWA,IA,2019-09-29,39,11.0,54.0,26.0,7.0,2.0
2019,IOWA,IA,2019-10-06,40,12.0,53.0,26.0,7.0,2.0
2019,IOWA,IA,2019-10-13,41,12.0,53.0,26.0,7.0,2.0
2019,IOWA,IA,2019-10-20,42,12.0,54.0,26.0,6.0,2.0
2019,IOWA,IA,2019-10-27,43,12.0,55.0,25.0,6.0,2.0
2019,IOWA,IA,2019-11-03,44,13.0,54.0,25.0,6.0,2.0
