year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2019,KENTUCKY,KY,2019-05-19,20,16.0,69.0,13.0,2.0,0.0
2019,KENTUCKY,KY,2019-05-26,21,15.0,69.0,12.0,3.0,1.0
2019,KENTUCKY,KY,2019-06-02,22,14.0,69.0,15.0,2.0,0.0
2019,KENTUCKY,KY,2019-06-09,23,12.0,72.0,14.0,2.0,0.0
2019,KENTUCKY,KY,2019-06-16,24,12.0,69.0,14.0,3.0,2.0
2019,KENTUCKY,KY,2019-06-23,25,14.0,62.0,18.0,4.0,2.0
2019,KENTUCKY,KY,2019-06-30,26,14.0,62.0,17.0,5.0,2.0
2019,KENTUCKY,KY,2019-07-07,27,15.0,60.0,18.0,5.0,2.0
2019,KENTUCKY,KY,2019-07-14,28,16.0,56.0,19.0,7.0,2.0
2019,KENTUCKY,KY,2019-07-21,29,19.0,54.0,18.0,7.0,2.0
2019,KENTUCKY,KY,2019-07-28,30,22.0,47.0,21.0,7.0,3.0
2019,KENTUCKY,KY,2019-08-04,31,19.0,52.0,20.0,6.0,3.0
2019,KENTUCKY,KY,2019-08-11,32,21.0,50.0,20.0,6.0,3.0
2019,KENTUCKY,KY,2019-08-18,33,18.0,50.0,22.0,7.0,3.0
2019,KENTUCKY,KY,2019-08-25,34,16.0,50.0,23.0,8.0,3.0
2019,KENTUCKY,KY,2019-09-01,35,16.0,51.0,23.0,7.0,3.0
2019,KENTUCKY,KY,2019-09-08,36,17.0,48.0,23.0,9.0,3.0
2019,KENTUCKY,KY,2019-09-15,37,20.0,46.0,23.0,8.0,3.0
2019,KENTUCKY,KY,2019-09-22,38,19.0,47.0,23.0,8.0,3.0
2019,KENTUCKY,KY,2019-09-29,39,20.0,46.0,23.0,8.0,3.0
2019,KENTUCKY,KY,2019-10-06,40,20.0,45.0,24.0,8.0,3.0
2019,KENTUCKY,KY,2019-10-13,41,20.0,45.0,24.0,8.0,3.0
2019,KENTUCKY,KY,2019-10-20,42,20.0,45.0,24.0,8.0,3.0
2019,KENTUCKY,KY,2019-10-27,43,20.0,45.0,24.0,8.0,3.0
2019,KENTUCKY,KY,2019-11-03,44,20.0,45.0,24.0,8.0,3.0
