year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2020,NEBRASKA,NE,2020-05-24,21,17.0,65.0,17.0,1.0,0.0
2020,NEBRASKA,NE,2020-05-31,22,20.0,62.0,17.0,1.0,0.0
2020,NEBRASKA,NE,2020-06-07,23,20.0,63.0,16.0,1.0,0.0
2020,NEBRASKA,NE,2020-06-14,24,17.0,54.0,26.0,2.0,1.0
2020,NEBRASKA,NE,2020-06-21,25,18.0,56.0,21.0,4.0,1.0
2020,NEBRASKA,NE,2020-06-28,26,21.0,55.0,19.0,4.0,1.0
2020,NEBRASKA,NE,2020-07-05,27,22.0,52.0,20.0,5.0,1.0
2020,NEBRASKA,NE,2020-07-12,28,21.0,49.0,22.0,6.0,2.0
2020,NEBRASKA,NE,2020-07-19,29,20.0,46.0,23.0,8.0,3.0
2020,NEBRASKA,NE,2020-07-26,30,21.0,54.0,18.0,5.0,2.0
2020,NEBRASKA,NE,2020-08-02,31,22.0,55.0,16.0,5.0,2.0
2020,NEBRASKA,NE,2020-08-09,32,21.0,57.0,15.0,5.0,2.0
2020,NEBRASKA,NE,2020-08-16,33,22.0,51.0,19.0,6.0,2.0
2020,NEBRASKA,NE,2020-08-23,34,19.0,47.0,21.0,9.0,4.0
2020,NEBRASKA,NE,2020-08-30,35,19.0,45.0,21.0,10.0,5.0
2020,NEBRASKA,NE,2020-09-06,36,21.0,41.0,22.0,10.0,6.0
2020,NEBRASKA,NE,2020-09-13,37,19.0,42.0,22.0,12.0,5.0
2020,NEBRASKA,NE,2020-09-20,38,20.0,44.0,21.0,9.0,6.0
2020,NEBRASKA,NE,2020-09-27,39,19.0,44.0,20.0,11.0,6.0
2020,NEBRASKA,NE,2020-10-04,40,17.0,44.0,24.0,12.0,3.0
2020,NEBRASKA,NE,2020-10-11,41,17.0,46.0,23.0,9.0,5.0
2020,NEBRASKA,NE,2020-10-18,42,17.0,42.0,22.0,13.0,6.0
