year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2020,WISCONSIN,WI,2020-05-24,21,23.0,56.0,19.0,2.0,0.0
2020,WISCONSIN,WI,2020-05-31,22,25.0,58.0,15.0,2.0,0.0
2020,WISCONSIN,WI,2020-06-07,23,31.0,55.0,13.0,1.0,0.0
2020,WISCONSIN,WI,2020-06-14,24,30.0,52.0,15.0,2.0,1.0
2020,WISCONSIN,WI,2020-06-21,25,29.0,51.0,16.0,3.0,1.0
2020,WISCONSIN,WI,2020-06-28,26,27.0,51.0,18.0,3.0,1.0
2020,WISCONSIN,WI,2020-07-05,27,32.0,47.0,17.0,3.0,1.0
2020,WISCONSIN,WI,2020-07-12,28,38.0,43.0,14.0,4.0,1.0
2020,WISCONSIN,WI,2020-07-19,29,39.0,42.0,15.0,3.0,1.0
2020,WISCONSIN,WI,2020-07-26,30,36.0,46.0,13.0,3.0,2.0
2020,WISCONSIN,WI,2020-08-02,31,35.0,46.0,14.0,3.0,2.0
2020,WISCONSIN,WI,2020-08-09,32,34.0,47.0,15.0,3.0,1.0
2020,WISCONSIN,WI,2020-08-16,33,37.0,47.0,11.0,3.0,2.0
2020,WISCONSIN,WI,2020-08-23,34,33.0,48.0,13.0,4.0,2.0
2020,WISCONSIN,WI,2020-08-30,35,30.0,50.0,14.0,4.0,2.0
2020,WISCONSIN,WI,2020-09-06,36,32.0,46.0,15.0,5.0,2.0
2020,WISCONSIN,WI,2020-09-13,37,32.0,46.0,15.0,5.0,2.0
2020,WISCONSIN,WI,2020-09-20,38,30.0,47.0,16.0,5.0,2.0
2020,WISCONSIN,WI,2020-09-27,39,30.0,47.0,16.0,5.0,2.0
2020,WISCONSIN,WI,2020-10-04,40,32.0,48.0,14.0,4.0,2.0
2020,WISCONSIN,WI,2020-10-11,41,31.0,48.0,15.0,4.0,2.0
2020,WISCONSIN,WI,2020-10-18,42,29.0,48.0,17.0,4.0,2.0
2020,WISCONSIN,WI,2020-10-25,43,31.0,49.0,16.0,3.0,1.0
2020,WISCONSIN,WI,2020-11-01,44,32.0,49.0,14.0,4.0,1.0
