year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2021,PENNSYLVANIA,PA,2021-05-30,21,17.0,66.0,15.0,2.0,0.0
2021,PENNSYLVANIA,PA,2021-06-06,22,12.0,61.0,24.0,3.0,0.0
2021,PENNSYLVANIA,PA,2021-06-13,23,14.0,62.0,20.0,4.0,0.0
2021,PENNSYLVANIA,PA,2021-06-20,24,18.0,62.0,17.0,3.0,0.0
2021,PENNSYLVANIA,PA,2021-06-27,25,16.0,65.0,16.0,3.0,0.0
2021,PENNSYLVANIA,PA,2021-07-04,26,21.0,64.0,12.0,3.0,0.0
2021,PENNSYLVANIA,PA,2021-07-11,27,17.0,69.0,14.0,0.0,0.0
2021,PENNSYLVANIA,PA,2021-07-18,28,25.0,66.0,9.0,0.0,0.0
2021,PENNSYLVANIA,PA,2021-07-25,29,24.0,64.0,11.0,1.0,0.0
2021,PENNSYLVANIA,PA,2021-08-01,30,20.0,67.0,12.0,1.0,0.0
2021,PENNSYLVANIA,PA,2021-08-08,31,19.0,69.0,11.0,1.0,0.0
2021,PENNSYLVANIA,PA,2021-08-15,32,19.0,68.0,12.0,1.0,0.0
2021,PENNSYLVANIA,PA,2021-08-22,33,21.0,64.0,14.0,1.0,0.0
2021,PENNSYLVANIA,PA,2021-08-29,34,20.0,65.0,14.0,1.0,0.0
2021,PENNSYLVANIA,PA,2021-09-05,35,19.0,67.0,13.0,1.0,0.0
2021,PENNSYLVANIA,PA,2021-09-12,36,18.0,67.0,14.0,1.0,0.0
2021,PENNSYLVANIA,PA,2021-09-19,37,17.0,68.0,13.0,2.0,0.0
2021,PENNSYLVANIA,PA,2021-09-26,38,14.0,72.0,13.0,1.0,0.0
2021,PENNSYLVANIA,PA,2021-10-03,39,17.0,71.0,11.0,1.0,0.0
2021,PENNSYLVANIA,PA,2021-10-10,40,19.0,69.0,11.0,1.0,0.0
2021,PENNSYLVANIA,PA,2021-10-17,41,24.0,67.0,9.0,0.0,0.0
2021,PENNSYLVANIA,PA,2021-10-24,42,18.0,70.0,11.0,1.0,0.0
2021,PENNSYLVANIA,PA,2021-10-31,43,20.0,66.0,13.0,1.0,0.0
