year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2022,MICHIGAN,MI,2022-06-05,22,14.0,59.0,23.0,3.0,1.0
2022,MICHIGAN,MI,2022-06-12,23,20.0,60.0,16.0,4.0,0.0
2022,MICHIGAN,MI,2022-06-19,24,16.0,54.0,25.0,4.0,1.0
2022,MICHIGAN,MI,2022-06-26,25,16.0,53.0,27.0,3.0,1.0
2022,MICHIGAN,MI,2022-07-03,26,17.0,55.0,24.0,3.0,1.0
2022,MICHIGAN,MI,2022-07-10,27,12.0,54.0,29.0,4.0,1.0
2022,MICHIGAN,MI,2022-07-17,28,15.0,52.0,28.0,4.0,1.0
2022,MICHIGAN,MI,2022-07-24,29,15.0,47.0,31.0,5.0,2.0
2022,MICHIGAN,MI,2022-07-31,30,12.0,52.0,29.0,5.0,2.0
2022,MICHIGAN,MI,2022-08-07,31,9.0,52.0,31.0,6.0,2.0
2022,MICHIGAN,MI,2022-08-14,32,13.0,54.0,28.0,4.0,1.0
2022,MICHIGAN,MI,2022-08-21,33,11.0,51.0,31.0,5.0,2.0
2022,MICHIGAN,MI,2022-08-28,34,11.0,53.0,31.0,4.0,1.0
2022,MICHIGAN,MI,2022-09-04,35,13.0,53.0,29.0,4.0,1.0
2022,MICHIGAN,MI,2022-09-11,36,10.0,51.0,32.0,5.0,2.0
2022,MICHIGAN,MI,2022-09-18,37,11.0,49.0,31.0,7.0,2.0
2022,MICHIGAN,MI,2022-09-25,38,13.0,50.0,29.0,6.0,2.0
2022,MICHIGAN,MI,2022-10-02,39,14.0,52.0,30.0,3.0,1.0
2022,MICHIGAN,MI,2022-10-09,40,13.0,50.0,32.0,4.0,1.0
2022,MICHIGAN,MI,2022-10-16,41,15.0,47.0,31.0,5.0,2.0
2022,MICHIGAN,MI,2022-10-23,42,16.0,51.0,28.0,4.0,1.0
2022,MICHIGAN,MI,2022-10-30,43,14.0,50.0,29.0,5.0,2.0
2022,MICHIGAN,MI,2022-11-06,44,15.0,49.0,29.0,5.0,2.0
