year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2023,KANSAS,KS,2023-05-28,21,7.0,45.0,39.0,6.0,3.0
2023,KANSAS,KS,2023-06-04,22,8.0,43.0,39.0,7.0,3.0
2023,KANSAS,KS,2023-06-11,23,8.0,48.0,33.0,7.0,4.0
2023,KANSAS,KS,2023-06-18,24,7.0,50.0,33.0,8.0,2.0
2023,KANSAS,KS,2023-06-25,25,10.0,45.0,35.0,8.0,2.0
2023,KANSAS,KS,2023-07-02,26,6.0,42.0,38.0,9.0,5.0
2023,KANSAS,KS,2023-07-09,27,8.0,47.0,32.0,8.0,5.0
2023,KANSAS,KS,2023-07-16,28,10.0,44.0,32.0,9.0,5.0
2023,KANSAS,KS,2023-07-23,29,13.0,45.0,32.0,7.0,3.0
2023,KANSAS,KS,2023-07-30,30,10.0,40.0,32.0,12.0,6.0
2023,KANSAS,KS,2023-08-06,31,9.0,39.0,31.0,13.0,8.0
2023,KANSAS,KS,2023-08-13,32,8.0,38.0,31.0,14.0,9.0
2023,KANSAS,KS,2023-08-20,33,6.0,35.0,33.0,16.0,10.0
2023,KANSAS,KS,2023-08-27,34,5.0,30.0,34.0,19.0,12.0
2023,KANSAS,KS,2023-09-03,35,5.0,28.0,34.0,19.0,14.0
2023,KANSAS,KS,2023-09-10,36,5.0,26.0,35.0,20.0,14.0
2023,KANSAS,KS,2023-09-17,37,6.0,26.0,32.0,20.0,16.0
2023,KANSAS,KS,2023-09-24,38,6.0,27.0,32.0,19.0,16.0
2023,KANSAS,KS,2023-10-01,39,7.0,26.0,34.0,18.0,15.0
2023,KANSAS,KS,2023-10-08,40,7.0,26.0,34.0,18.0,15.0
2023,KANSAS,KS,2023-10-15,41,7.0,26.0,34.0,18.0,15.0
