year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2023,MICHIGAN,MI,2023-05-28,21,8.0,58.0,32.0,2.0,0.0
2023,MICHIGAN,MI,2023-06-04,22,5.0,41.0,46.0,7.0,1.0
2023,MICHIGAN,MI,2023-06-11,23,3.0,35.0,42.0,16.0,4.0
2023,MICHIGAN,MI,2023-06-18,24,6.0,26.0,40.0,21.0,7.0
2023,MICHIGAN,MI,2023-06-25,25,5.0,23.0,42.0,25.0,5.0
2023,MICHIGAN,MI,2023-07-02,26,5.0,28.0,42.0,20.0,5.0
2023,MICHIGAN,MI,2023-07-09,27,6.0,30.0,42.0,14.0,8.0
2023,MICHIGAN,MI,2023-07-16,28,6.0,34.0,46.0,12.0,2.0
2023,MICHIGAN,MI,2023-07-23,29,3.0,36.0,48.0,9.0,4.0
2023,MICHIGAN,MI,2023-07-30,30,9.0,35.0,47.0,8.0,1.0
2023,MICHIGAN,MI,2023-08-06,31,6.0,40.0,44.0,9.0,1.0
2023,MICHIGAN,MI,2023-08-13,32,11.0,43.0,35.0,9.0,2.0
2023,MICHIGAN,MI,2023-08-20,33,18.0,36.0,37.0,8.0,1.0
2023,MICHIGAN,MI,2023-08-27,34,6.0,44.0,40.0,9.0,1.0
2023,MICHIGAN,MI,2023-09-03,35,8.0,44.0,39.0,8.0,1.0
2023,MICHIGAN,MI,2023-09-10,36,11.0,45.0,34.0,9.0,1.0
2023,MICHIGAN,MI,2023-09-17,37,12.0,43.0,37.0,7.0,1.0
2023,MICHIGAN,MI,2023-09-24,38,10.0,46.0,34.0,8.0,2.0
2023,MICHIGAN,MI,2023-10-01,39,12.0,39.0,35.0,10.0,4.0
2023,MICHIGAN,MI,2023-10-08,40,11.0,44.0,35.0,8.0,2.0
2023,MICHIGAN,MI,2023-10-15,41,10.0,46.0,35.0,8.0,1.0
2023,MICHIGAN,MI,2023-10-22,42,8.0,46.0,37.0,8.0,1.0
2023,MICHIGAN,MI,2023-10-29,43,9.0,42.0,38.0,9.0,2.0
2023,MICHIGAN,MI,2023-11-05,44,10.0,37.0,38.0,11.0,4.0
