year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2005,COLORADO,CO,2005-04-17,15,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-04-24,16,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-05-01,17,20.0,3.0,0.0,0.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-05-08,18,33.0,7.0,0.0,0.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-05-15,19,60.0,17.0,0.0,0.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-05-22,20,82.0,36.0,0.0,0.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-05-29,21,0.0,61.0,0.0,0.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-06-05,22,0.0,94.0,0.0,0.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-06-26,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-07-03,26,0.0,0.0,8.0,0.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-07-10,27,0.0,0.0,12.0,0.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-07-17,28,0.0,0.0,15.0,0.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-07-24,29,0.0,0.0,30.0,1.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-07-31,30,0.0,0.0,58.0,6.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-08-07,31,0.0,0.0,72.0,15.0,0.0,0.0,0.0
2005,COLORADO,CO,2005-08-14,32,0.0,0.0,0.0,25.0,5.0,0.0,0.0
2005,COLORADO,CO,2005-08-21,33,0.0,0.0,0.0,35.0,10.0,0.0,0.0
2005,COLORADO,CO,2005-08-28,34,0.0,0.0,0.0,50.0,20.0,2.0,0.0
2005,COLORADO,CO,2005-09-04,35,0.0,0.0,0.0,62.0,34.0,6.0,0.0
2005,COLORADO,CO,2005-09-11,36,0.0,0.0,0.0,0.0,50.0,15.0,0.0
2005,COLORADO,CO,2005-09-18,37,0.0,0.0,0.0,0.0,70.0,30.0,1.0
2005,COLORADO,CO,2005-09-25,38,0.0,0.0,0.0,0.0,0.0,45.0,3.0
2005,COLORADO,CO,2005-10-02,39,0.0,0.0,0.0,0.0,0.0,77.0,7.0
2005,COLORADO,CO,2005-10-09,40,0.0,0.0,0.0,0.0,0.0,90.0,18.0
2005,COLORADO,CO,2005-10-16,41,0.0,0.0,0.0,0.0,0.0,0.0,23.0
2005,COLORADO,CO,2005-10-23,42,0.0,0.0,0.0,0.0,0.0,0.0,32.0
2005,COLORADO,CO,2005-10-30,43,0.0,0.0,0.0,0.0,0.0,0.0,43.0
2005,COLORADO,CO,2005-11-06,44,0.0,0.0,0.0,0.0,0.0,0.0,66.0
2005,COLORADO,CO,2005-11-13,45,0.0,0.0,0.0,0.0,0.0,0.0,86.0
