year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2005,ILLINOIS,IL,2005-04-17,15,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,ILLINOIS,IL,2005-04-24,16,64.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,ILLINOIS,IL,2005-05-01,17,82.0,30.0,0.0,0.0,0.0,0.0,0.0
2005,ILLINOIS,IL,2005-05-08,18,94.0,52.0,0.0,0.0,0.0,0.0,0.0
2005,ILLINOIS,IL,2005-05-15,19,98.0,79.0,0.0,0.0,0.0,0.0,0.0
2005,ILLINOIS,IL,2005-05-22,20,99.0,91.0,0.0,0.0,0.0,0.0,0.0
2005,ILLINOIS,IL,2005-05-29,21,0.0,98.0,0.0,0.0,0.0,0.0,0.0
2005,ILLINOIS,IL,2005-06-05,22,0.0,99.0,0.0,0.0,0.0,0.0,0.0
2005,ILLINOIS,IL,2005-06-26,25,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2005,ILLINOIS,IL,2005-07-03,26,0.0,0.0,20.0,0.0,0.0,0.0,0.0
2005,ILLINOIS,IL,2005-07-10,27,0.0,0.0,54.0,3.0,0.0,0.0,0.0
2005,ILLINOIS,IL,2005-07-17,28,0.0,0.0,83.0,11.0,0.0,0.0,0.0
2005,ILLINOIS,IL,2005-07-24,29,0.0,0.0,95.0,21.0,0.0,0.0,0.0
2005,ILLINOIS,IL,2005-07-31,30,0.0,0.0,99.0,40.0,5.0,0.0,0.0
2005,ILLINOIS,IL,2005-08-07,31,0.0,0.0,99.0,64.0,19.0,0.0,0.0
2005,ILLINOIS,IL,2005-08-14,32,0.0,0.0,0.0,83.0,41.0,0.0,0.0
2005,ILLINOIS,IL,2005-08-21,33,0.0,0.0,0.0,92.0,59.0,4.0,0.0
2005,ILLINOIS,IL,2005-08-28,34,0.0,0.0,0.0,97.0,74.0,10.0,0.0
2005,ILLINOIS,IL,2005-09-04,35,0.0,0.0,0.0,99.0,88.0,28.0,0.0
2005,ILLINOIS,IL,2005-09-11,36,0.0,0.0,0.0,0.0,95.0,54.0,6.0
2005,ILLINOIS,IL,2005-09-18,37,0.0,0.0,0.0,0.0,97.0,74.0,13.0
2005,ILLINOIS,IL,2005-09-25,38,0.0,0.0,0.0,0.0,0.0,91.0,30.0
2005,ILLINOIS,IL,2005-10-02,39,0.0,0.0,0.0,0.0,0.0,97.0,42.0
2005,ILLINOIS,IL,2005-10-09,40,0.0,0.0,0.0,0.0,0.0,99.0,58.0
2005,ILLINOIS,IL,2005-10-16,41,0.0,0.0,0.0,0.0,0.0,0.0,77.0
2005,ILLINOIS,IL,2005-10-23,42,0.0,0.0,0.0,0.0,0.0,0.0,89.0
2005,ILLINOIS,IL,2005-10-30,43,0.0,0.0,0.0,0.0,0.0,0.0,94.0
2005,ILLINOIS,IL,2005-11-06,44,0.0,0.0,0.0,0.0,0.0,0.0,96.0
2005,ILLINOIS,IL,2005-11-13,45,0.0,0.0,0.0,0.0,0.0,0.0,99.0
