year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2005,NEBRASKA,NE,2005-04-17,15,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-04-24,16,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-05-01,17,34.0,3.0,0.0,0.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-05-08,18,74.0,10.0,0.0,0.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-05-15,19,89.0,32.0,0.0,0.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-05-22,20,97.0,70.0,0.0,0.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-05-29,21,0.0,91.0,0.0,0.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-06-05,22,0.0,98.0,0.0,0.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-06-26,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-07-03,26,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-07-10,27,0.0,0.0,26.0,0.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-07-17,28,0.0,0.0,60.0,2.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-07-24,29,0.0,0.0,86.0,9.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-07-31,30,0.0,0.0,96.0,30.0,0.0,0.0,0.0
2005,NEBRASKA,NE,2005-08-07,31,0.0,0.0,98.0,51.0,5.0,0.0,0.0
2005,NEBRASKA,NE,2005-08-14,32,0.0,0.0,0.0,74.0,23.0,0.0,0.0
2005,NEBRASKA,NE,2005-08-21,33,0.0,0.0,0.0,87.0,50.0,1.0,0.0
2005,NEBRASKA,NE,2005-08-28,34,0.0,0.0,0.0,95.0,69.0,3.0,0.0
2005,NEBRASKA,NE,2005-09-04,35,0.0,0.0,0.0,97.0,84.0,7.0,0.0
2005,NEBRASKA,NE,2005-09-11,36,0.0,0.0,0.0,0.0,94.0,24.0,2.0
2005,NEBRASKA,NE,2005-09-18,37,0.0,0.0,0.0,0.0,97.0,45.0,4.0
2005,NEBRASKA,NE,2005-09-25,38,0.0,0.0,0.0,0.0,0.0,72.0,10.0
2005,NEBRASKA,NE,2005-10-02,39,0.0,0.0,0.0,0.0,0.0,81.0,17.0
2005,NEBRASKA,NE,2005-10-09,40,0.0,0.0,0.0,0.0,0.0,93.0,28.0
2005,NEBRASKA,NE,2005-10-16,41,0.0,0.0,0.0,0.0,0.0,0.0,43.0
2005,NEBRASKA,NE,2005-10-23,42,0.0,0.0,0.0,0.0,0.0,0.0,60.0
2005,NEBRASKA,NE,2005-10-30,43,0.0,0.0,0.0,0.0,0.0,0.0,79.0
2005,NEBRASKA,NE,2005-11-06,44,0.0,0.0,0.0,0.0,0.0,0.0,88.0
2005,NEBRASKA,NE,2005-11-13,45,0.0,0.0,0.0,0.0,0.0,0.0,95.0
