year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2014,MINNESOTA,MN,2014-04-13,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-04-20,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-04-27,17,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-05-04,18,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-05-11,19,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-05-18,20,53.0,4.0,0.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-05-25,21,81.0,32.0,0.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-06-01,22,93.0,69.0,0.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-06-08,23,96.0,89.0,0.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-06-15,24,97.0,94.0,0.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-06-22,25,97.0,96.0,0.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-06-29,26,98.0,97.0,0.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-07-06,27,99.0,99.0,1.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-07-13,28,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-07-20,29,0.0,0.0,23.0,0.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-07-27,30,0.0,0.0,61.0,4.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-08-03,31,0.0,0.0,85.0,23.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-08-10,32,0.0,0.0,94.0,44.0,0.0,0.0,0.0
2014,MINNESOTA,MN,2014-08-17,33,0.0,0.0,98.0,63.0,6.0,0.0,0.0
2014,MINNESOTA,MN,2014-08-24,34,0.0,0.0,0.0,78.0,18.0,0.0,0.0
2014,MINNESOTA,MN,2014-08-31,35,0.0,0.0,0.0,88.0,34.0,0.0,0.0
2014,MINNESOTA,MN,2014-09-07,36,0.0,0.0,0.0,94.0,61.0,0.0,0.0
2014,MINNESOTA,MN,2014-09-14,37,0.0,0.0,0.0,0.0,81.0,9.0,0.0
2014,MINNESOTA,MN,2014-09-21,38,0.0,0.0,0.0,0.0,91.0,19.0,0.0
2014,MINNESOTA,MN,2014-09-28,39,0.0,0.0,0.0,0.0,96.0,45.0,49.0
2014,MINNESOTA,MN,2014-10-05,40,0.0,0.0,0.0,0.0,98.0,63.0,73.0
2014,MINNESOTA,MN,2014-10-12,41,0.0,0.0,0.0,0.0,0.0,85.0,87.0
2014,MINNESOTA,MN,2014-10-19,42,0.0,0.0,0.0,0.0,0.0,92.0,93.0
2014,MINNESOTA,MN,2014-10-26,43,0.0,0.0,0.0,0.0,0.0,97.0,97.0
2014,MINNESOTA,MN,2014-11-02,44,0.0,0.0,0.0,0.0,0.0,0.0,98.0
2014,MINNESOTA,MN,2014-11-09,45,0.0,0.0,0.0,0.0,0.0,0.0,99.0
2014,MINNESOTA,MN,2014-11-16,46,0.0,0.0,0.0,0.0,0.0,0.0,95.0
2014,MINNESOTA,MN,2014-11-23,47,0.0,0.0,0.0,0.0,0.0,0.0,96.0
