year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2015,OHIO,OH,2015-04-12,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-04-19,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-04-26,17,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-05-03,18,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-05-10,19,55.0,11.0,0.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-05-17,20,77.0,46.0,0.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-05-24,21,87.0,68.0,0.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-05-31,22,93.0,83.0,0.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-06-07,23,97.0,91.0,0.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-06-14,24,0.0,97.0,0.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-06-28,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-07-05,27,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-07-12,28,0.0,0.0,20.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-07-19,29,0.0,0.0,43.0,0.0,0.0,0.0,0.0
2015,OHIO,OH,2015-07-26,30,0.0,0.0,67.0,3.0,0.0,0.0,0.0
2015,OHIO,OH,2015-08-02,31,0.0,0.0,83.0,15.0,0.0,0.0,0.0
2015,OHIO,OH,2015-08-09,32,0.0,0.0,91.0,36.0,2.0,0.0,0.0
2015,OHIO,OH,2015-08-16,33,0.0,0.0,95.0,61.0,17.0,0.0,0.0
2015,OHIO,OH,2015-08-23,34,0.0,0.0,0.0,76.0,35.0,0.0,1.0
2015,OHIO,OH,2015-08-30,35,0.0,0.0,0.0,87.0,50.0,2.0,12.0
2015,OHIO,OH,2015-09-06,36,0.0,0.0,0.0,95.0,66.0,12.0,34.0
2015,OHIO,OH,2015-09-13,37,0.0,0.0,0.0,0.0,82.0,28.0,59.0
2015,OHIO,OH,2015-09-20,38,0.0,0.0,0.0,0.0,94.0,46.0,81.0
2015,OHIO,OH,2015-09-27,39,0.0,0.0,0.0,0.0,100.0,70.0,95.0
2015,OHIO,OH,2015-10-04,40,0.0,0.0,0.0,0.0,0.0,82.0,97.0
2015,OHIO,OH,2015-10-11,41,0.0,0.0,0.0,0.0,0.0,93.0,35.0
2015,OHIO,OH,2015-10-18,42,0.0,0.0,0.0,0.0,0.0,99.0,55.0
2015,OHIO,OH,2015-10-25,43,0.0,0.0,0.0,0.0,0.0,0.0,76.0
2015,OHIO,OH,2015-11-01,44,0.0,0.0,0.0,0.0,0.0,0.0,88.0
2015,OHIO,OH,2015-11-08,45,0.0,0.0,0.0,0.0,0.0,0.0,95.0
2015,OHIO,OH,2015-11-15,46,0.0,0.0,0.0,0.0,0.0,0.0,100.0
