year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2021,SOUTH DAKOTA,SD,2021-04-04,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-04-11,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-04-18,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-04-25,16,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-05-02,17,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-05-09,18,66.0,3.0,0.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-05-16,19,86.0,19.0,0.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-05-23,20,93.0,55.0,0.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-05-30,21,98.0,82.0,0.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-06-06,22,99.0,93.0,0.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-06-13,23,100.0,96.0,0.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-06-20,24,100.0,97.0,0.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-06-27,25,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-07-04,26,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-07-11,27,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-07-18,28,0.0,0.0,27.0,0.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-07-25,29,0.0,0.0,68.0,11.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-08-01,30,0.0,0.0,83.0,23.0,0.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-08-08,31,0.0,0.0,94.0,44.0,1.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-08-15,32,0.0,0.0,97.0,69.0,12.0,0.0,0.0
2021,SOUTH DAKOTA,SD,2021-08-22,33,0.0,0.0,0.0,81.0,29.0,6.0,0.0
2021,SOUTH DAKOTA,SD,2021-08-29,34,0.0,0.0,0.0,89.0,42.0,8.0,0.0
2021,SOUTH DAKOTA,SD,2021-09-05,35,0.0,0.0,0.0,97.0,68.0,18.0,0.0
2021,SOUTH DAKOTA,SD,2021-09-12,36,0.0,0.0,0.0,0.0,86.0,33.0,1.0
2021,SOUTH DAKOTA,SD,2021-09-19,37,0.0,0.0,0.0,0.0,95.0,50.0,4.0
2021,SOUTH DAKOTA,SD,2021-09-26,38,0.0,0.0,0.0,0.0,98.0,70.0,10.0
2021,SOUTH DAKOTA,SD,2021-10-03,39,0.0,0.0,0.0,0.0,0.0,87.0,18.0
2021,SOUTH DAKOTA,SD,2021-10-10,40,0.0,0.0,0.0,0.0,0.0,94.0,33.0
2021,SOUTH DAKOTA,SD,2021-10-17,41,0.0,0.0,0.0,0.0,0.0,96.0,51.0
2021,SOUTH DAKOTA,SD,2021-10-24,42,0.0,0.0,0.0,0.0,0.0,0.0,64.0
2021,SOUTH DAKOTA,SD,2021-10-31,43,0.0,0.0,0.0,0.0,0.0,0.0,71.0
2021,SOUTH DAKOTA,SD,2021-11-07,44,0.0,0.0,0.0,0.0,0.0,0.0,81.0
2021,SOUTH DAKOTA,SD,2021-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,89.0
2021,SOUTH DAKOTA,SD,2021-11-21,46,0.0,0.0,0.0,0.0,0.0,0.0,93.0
2021,SOUTH DAKOTA,SD,2021-11-28,47,0.0,0.0,0.0,0.0,0.0,0.0,96.0
