year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2022,IOWA,IA,2022-04-03,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-04-10,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-04-17,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-04-24,16,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-05-01,17,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-05-08,18,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-05-15,19,57.0,8.0,0.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-05-22,20,86.0,47.0,0.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-05-29,21,94.0,73.0,0.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-06-05,22,98.0,87.0,0.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-06-12,23,99.0,95.0,0.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-06-19,24,0.0,98.0,0.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-06-26,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-07-03,26,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-07-10,27,0.0,0.0,7.0,0.0,0.0,0.0,0.0
2022,IOWA,IA,2022-07-17,28,0.0,0.0,31.0,1.0,0.0,0.0,0.0
2022,IOWA,IA,2022-07-24,29,0.0,0.0,66.0,8.0,0.0,0.0,0.0
2022,IOWA,IA,2022-07-31,30,0.0,0.0,87.0,30.0,1.0,0.0,0.0
2022,IOWA,IA,2022-08-07,31,0.0,0.0,93.0,53.0,5.0,0.0,0.0
2022,IOWA,IA,2022-08-14,32,0.0,0.0,96.0,72.0,15.0,0.0,0.0
2022,IOWA,IA,2022-08-21,33,0.0,0.0,97.0,84.0,30.0,1.0,0.0
2022,IOWA,IA,2022-08-28,34,0.0,0.0,0.0,92.0,52.0,3.0,0.0
2022,IOWA,IA,2022-09-04,35,0.0,0.0,0.0,96.0,71.0,10.0,0.0
2022,IOWA,IA,2022-09-11,36,0.0,0.0,0.0,98.0,84.0,23.0,0.0
2022,IOWA,IA,2022-09-18,37,0.0,0.0,0.0,0.0,93.0,42.0,2.0
2022,IOWA,IA,2022-09-25,38,0.0,0.0,0.0,0.0,97.0,63.0,5.0
2022,IOWA,IA,2022-10-02,39,0.0,0.0,0.0,0.0,99.0,82.0,11.0
2022,IOWA,IA,2022-10-09,40,0.0,0.0,0.0,0.0,0.0,92.0,23.0
2022,IOWA,IA,2022-10-16,41,0.0,0.0,0.0,0.0,0.0,96.0,38.0
2022,IOWA,IA,2022-10-23,42,0.0,0.0,0.0,0.0,0.0,98.0,59.0
2022,IOWA,IA,2022-10-30,43,0.0,0.0,0.0,0.0,0.0,0.0,77.0
2022,IOWA,IA,2022-11-06,44,0.0,0.0,0.0,0.0,0.0,0.0,89.0
2022,IOWA,IA,2022-11-13,45,0.0,0.0,0.0,0.0,0.0,0.0,95.0
2022,IOWA,IA,2022-11-20,46,0.0,0.0,0.0,0.0,0.0,0.0,97.0
