year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2023,MISSOURI,MO,2023-04-02,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-04-09,14,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-04-16,15,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-04-23,16,58.0,11.0,0.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-04-30,17,80.0,31.0,0.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-05-07,18,92.0,56.0,0.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-05-14,19,96.0,78.0,0.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-05-21,20,97.0,88.0,0.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-05-28,21,98.0,93.0,0.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-06-04,22,99.0,96.0,0.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-06-11,23,0.0,97.0,0.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-06-18,24,0.0,98.0,0.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-06-25,25,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-07-02,26,0.0,0.0,21.0,0.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-07-09,27,0.0,0.0,52.0,3.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-07-16,28,0.0,0.0,81.0,21.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-07-23,29,0.0,0.0,90.0,39.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-07-30,30,0.0,0.0,94.0,56.0,0.0,0.0,0.0
2023,MISSOURI,MO,2023-08-06,31,0.0,0.0,97.0,70.0,5.0,0.0,0.0
2023,MISSOURI,MO,2023-08-13,32,0.0,0.0,98.0,84.0,30.0,0.0,0.0
2023,MISSOURI,MO,2023-08-20,33,0.0,0.0,0.0,93.0,61.0,3.0,0.0
2023,MISSOURI,MO,2023-08-27,34,0.0,0.0,0.0,96.0,76.0,16.0,0.0
2023,MISSOURI,MO,2023-09-03,35,0.0,0.0,0.0,97.0,87.0,32.0,2.0
2023,MISSOURI,MO,2023-09-10,36,0.0,0.0,0.0,98.0,94.0,51.0,9.0
2023,MISSOURI,MO,2023-09-17,37,0.0,0.0,0.0,0.0,97.0,70.0,19.0
2023,MISSOURI,MO,2023-09-24,38,0.0,0.0,0.0,0.0,98.0,86.0,28.0
2023,MISSOURI,MO,2023-10-01,39,0.0,0.0,0.0,0.0,0.0,92.0,42.0
2023,MISSOURI,MO,2023-10-08,40,0.0,0.0,0.0,0.0,0.0,96.0,56.0
2023,MISSOURI,MO,2023-10-15,41,0.0,0.0,0.0,0.0,0.0,98.0,65.0
2023,MISSOURI,MO,2023-10-22,42,0.0,0.0,0.0,0.0,0.0,0.0,75.0
2023,MISSOURI,MO,2023-10-29,43,0.0,0.0,0.0,0.0,0.0,0.0,84.0
2023,MISSOURI,MO,2023-11-05,44,0.0,0.0,0.0,0.0,0.0,0.0,89.0
2023,MISSOURI,MO,2023-11-12,45,0.0,0.0,0.0,0.0,0.0,0.0,94.0
2023,MISSOURI,MO,2023-11-19,46,0.0,0.0,0.0,0.0,0.0,0.0,97.0
2023,MISSOURI,MO,2023-11-26,47,0.0,0.0,0.0,0.0,0.0,0.0,99.0
