year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2024,NORTH DAKOTA,ND,2024-03-31,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-04-07,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-04-14,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-04-21,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-04-28,17,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-05-05,18,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-05-12,19,22.0,1.0,0.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-05-19,20,51.0,13.0,0.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-05-26,21,75.0,27.0,0.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-06-02,22,86.0,45.0,0.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-06-09,23,93.0,69.0,0.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-06-16,24,98.0,88.0,0.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-06-23,25,0.0,96.0,0.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-06-30,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-07-07,27,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-07-14,28,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-07-21,29,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-07-28,30,0.0,0.0,40.0,1.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-08-04,31,0.0,0.0,76.0,11.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-08-11,32,0.0,0.0,90.0,20.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-08-18,33,0.0,0.0,96.0,33.0,0.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-08-25,34,0.0,0.0,100.0,49.0,5.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-09-01,35,0.0,0.0,0.0,60.0,18.0,0.0,0.0
2024,NORTH DAKOTA,ND,2024-09-08,36,0.0,0.0,0.0,73.0,34.0,3.0,0.0
2024,NORTH DAKOTA,ND,2024-09-15,37,0.0,0.0,0.0,84.0,59.0,5.0,0.0
2024,NORTH DAKOTA,ND,2024-09-22,38,0.0,0.0,0.0,91.0,72.0,15.0,0.0
2024,NORTH DAKOTA,ND,2024-09-29,39,0.0,0.0,0.0,95.0,87.0,39.0,1.0
2024,NORTH DAKOTA,ND,2024-10-06,40,0.0,0.0,0.0,0.0,95.0,65.0,8.0
2024,NORTH DAKOTA,ND,2024-10-13,41,0.0,0.0,0.0,0.0,0.0,88.0,19.0
2024,NORTH DAKOTA,ND,2024-10-20,42,0.0,0.0,0.0,0.0,0.0,95.0,47.0
2024,NORTH DAKOTA,ND,2024-10-27,43,0.0,0.0,0.0,0.0,0.0,0.0,71.0
2024,NORTH DAKOTA,ND,2024-11-03,44,0.0,0.0,0.0,0.0,0.0,0.0,85.0
2024,NORTH DAKOTA,ND,2024-11-10,45,0.0,0.0,0.0,0.0,0.0,0.0,90.0
2024,NORTH DAKOTA,ND,2024-11-17,46,0.0,0.0,0.0,0.0,0.0,0.0,95.0
