STATE,DATE,PRCP,RH,TMAX,TAVG,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
IL,2005-01-01,2.96,84.21084296212226,13.880821917808218,8.103767123287671,2.3267123287671234,35.0,2.0,19.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
IL,2005-01-02,8.5724,94.8049511961646,13.486896551724138,8.561379310344828,3.6358620689655177,31.0,0.0,20.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
IL,2005-01-03,15.371887550200803,95.1166605347773,10.348275862068965,7.043448275862069,3.7386206896551726,20.0,0.0,5.0,7.0,1.0,12.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,6.0,2.0,0.0,2.0,0.0,0.0
IL,2005-01-04,12.58266129032258,94.82427833058844,5.96344827586207,3.656896551724138,1.3503448275862069,38.0,3.0,1.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,6.0,1.0,3.0,2.0,0.0,0.0
IL,2005-01-05,22.009638554216867,94.58467645117516,3.5579310344827584,1.4253472222222223,-0.6277777777777778,14.0,2.0,4.0,26.0,0.0,31.0,0.0,2.0,0.0,1.0,6.0,1.0,1.0,4.0,3.0,6.0,3.0,0.0,2.0
IL,2005-01-06,15.529098360655738,89.59873551444986,0.6144827586206896,-2.5555172413793104,-5.72551724137931,10.0,1.0,0.0,10.0,0.0,10.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,2.0
IL,2005-01-07,0.6557377049180327,86.82537073713938,-2.023448275862069,-5.235763888888889,-8.453472222222222,6.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
IL,2005-01-08,2.9781376518218625,90.64909761903348,-0.9931506849315068,-3.056164383561644,-5.11917808219178,10.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
IL,2005-01-09,0.2299595141700404,89.81004551363192,1.9579310344827583,-0.5413194444444444,-3.0541666666666667,16.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
IL,2005-01-10,0.4044176706827309,90.67763302689562,4.594520547945205,1.833219178082192,-0.928082191780822,33.0,2.0,0.0,5.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,5.0,1.0,2.0,2.0,0.0,1.0
