STATE,DATE,PRCP,RH,TMAX,TAVG,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
KY,2005-01-01,4.5068702290076335,86.43748768207693,16.347435897435897,13.011688311688312,9.71923076923077,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-02,7.77,90.70233630002193,16.611538461538462,13.143589743589745,9.675641025641026,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-03,6.13409090909091,88.40159083025051,16.32962962962963,14.087654320987651,11.84567901234568,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-04,8.790151515151514,91.25794632137398,16.534567901234567,14.125925925925928,11.717283950617285,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-05,10.7203007518797,89.23628730383771,16.555555555555557,13.125308641975309,9.69506172839506,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-06,13.221052631578948,86.8943109202983,14.335802469135803,8.72283950617284,3.1098765432098765,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,7.0,0.0,3.0,1.0,0.0,0.0
KY,2005-01-07,7.954135338345865,83.5282775460119,7.157500000000001,3.59125,0.025,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0
KY,2005-01-08,17.02,89.74700957029654,7.734177215189874,4.724683544303797,1.7151898734177216,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0
KY,2005-01-09,0.3090909090909091,79.29946920507544,10.355,6.640625,2.92625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-10,0.9015151515151516,79.18502158407279,12.3725,8.698125000000001,5.02375,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-11,1.424812030075188,87.69504511848575,15.805,11.7325,7.659999999999999,8.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-12,4.116923076923078,82.41867599286479,18.988607594936703,16.15886075949367,13.329113924050631,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-13,7.025954198473282,77.80373905454036,19.575949367088608,13.804430379746837,8.032911392405063,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-14,9.354961832061068,77.25416780702469,10.281481481481482,4.3049382716049385,-1.671604938271605,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-15,0.0037878787878787,73.26866639654223,3.630864197530864,-0.3493827160493827,-4.329629629629629,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-16,0.0550387596899224,76.27386488841191,1.8,-2.6025,-7.005,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
KY,2005-01-17,0.5015384615384616,65.28134061356789,-2.93875,-7.704375000000001,-12.47,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
KY,2005-01-18,0.0181818181818181,60.62070894956075,-3.098765432098765,-8.31875,-13.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-19,0.0977099236641221,56.6495776390821,3.135,-2.581645569620253,-8.316455696202532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0
KY,2005-01-20,0.2371212121212121,78.216566949563,5.924050632911392,2.0917721518987342,-1.740506329113924,6.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,1.0
KY,2005-01-21,1.50546875,81.31724757247889,5.092499999999999,1.1800000000000002,-2.7325,6.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
KY,2005-01-22,1.0945736434108526,81.76779190032727,4.8725000000000005,-0.95875,-6.790000000000001,7.0,3.0,0.0,1.0,0.0,4.0,1.0,0.0,7.0,0.0,1.0,5.0,2.0,7.0,2.0,0.0,5.0
KY,2005-01-23,1.4944444444444442,67.26330765260876,-0.62625,-6.238125,-11.854320987654322,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0
KY,2005-01-24,0.1917293233082706,61.12820196497016,1.537037037037037,-5.17962962962963,-11.896296296296295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-25,0.1646616541353383,58.97230747487068,9.75375,1.7225,-6.30875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KY,2005-01-26,0.6578947368421053,68.70734678765687,11.19875,4.428125,-2.3425,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0
KY,2005-01-27,0.3654135338345864,69.39737053670143,4.8637500000000005,-0.39875,-5.66125,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
KY,2005-01-28,0.5293233082706768,58.47557047468054,3.117948717948718,-1.851282051282052,-6.82051282051282,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
KY,2005-01-29,7.815789473684211,78.27325425048569,3.71375,0.699375,-2.315,9.0,2.0,0.0,7.0,0.0,5.0,0.0,0.0,7.0,2.0,0.0,7.0,4.0,3.0,5.0,0.0,0.0
KY,2005-01-30,6.620930232558139,92.74355784820824,2.7354430379746835,1.494871794871795,0.2615384615384615,12.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
KY,2005-01-31,1.843181818181818,85.55604690637973,3.5278481012658225,1.85253164556962,0.1772151898734177,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2005-02-01,0.0511627906976744,80.26186954469951,6.296153846153847,2.8884615384615384,-0.5192307692307693,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KY,2005-02-02,1.5107692307692309,82.57817914065426,5.769230769230769,2.326923076923077,-1.1153846153846154,11.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,7.0,0.0,0.0,6.0,1.0,4.0,2.0,0.0,0.0
KY,2005-02-03,3.6738461538461538,88.79322603536835,5.582051282051282,2.31474358974359,-0.9525641025641024,14.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,1.0,0.0,5.0,0.0,3.0,1.0,0.0,1.0
KY,2005-02-04,0.2015384615384615,80.06767780595261,8.732911392405063,2.4132911392405063,-3.906329113924051,23.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
KY,2005-02-05,0.0325581395348837,72.69662062546448,12.967532467532468,4.872727272727273,-3.222077922077922,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
KY,2005-02-06,0.04375,64.92674631983564,15.27012987012987,7.6162337662337665,-0.0376623376623376,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KY,2005-02-07,3.122480620155039,66.11599573967024,14.521518987341771,9.095569620253164,3.669620253164557,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
KY,2005-02-08,5.256153846153846,90.71467453787196,13.712820512820512,9.794871794871796,5.929113924050633,14.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
KY,2005-02-09,1.073846153846154,92.4384266914442,10.575949367088608,7.054430379746835,3.5329113924050635,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,4.0,1.0,0.0,0.0
KY,2005-02-10,2.2161538461538464,82.19081326387095,5.173417721518987,1.179746835443038,-2.813924050632912,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,1.0
KY,2005-02-11,0.3107692307692307,71.79235726879342,5.277215189873417,-0.2265822784810126,-5.7303797468354425,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KY,2005-02-12,0.4361538461538461,67.05043014198176,11.878481012658227,4.239240506329114,-3.4000000000000004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
