STATE,DATE,PRCP,RH,TMAX,TAVG,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
MI,2005-01-01,1.4716577540106952,69.78947571058441,6.666666666666667,0.6197222222222222,-5.424861878453038,11.0,1.0,0.0,6.0,0.0,15.0,1.0,0.0,0.0,8.0,2.0,0.0,6.0,4.0,4.0,3.0,0.0,1.0
MI,2005-01-02,8.73494623655914,88.28567649907438,4.140659340659341,0.0021978021978021,-4.119672131147541,42.0,3.0,0.0,10.0,1.0,34.0,2.0,0.0,0.0,12.0,2.0,2.0,11.0,10.0,4.0,7.0,0.0,1.0
MI,2005-01-03,3.1526881720430104,85.76515221487898,3.473770491803279,0.2259562841530054,-3.008695652173913,17.0,1.0,1.0,12.0,1.0,4.0,1.0,0.0,0.0,8.0,0.0,0.0,7.0,2.0,8.0,2.0,0.0,1.0
MI,2005-01-04,2.167379679144385,84.52610732330284,-0.312707182320442,-2.641988950276243,-4.914673913043478,13.0,1.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,11.0,1.0,0.0,1.0
MI,2005-01-05,2.33031914893617,78.46211192211378,-2.546195652173913,-5.650815217391305,-8.724193548387097,11.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
MI,2005-01-06,5.094086021505376,82.65352431275609,-4.733695652173913,-7.185054347826087,-9.623243243243245,12.0,4.0,0.0,8.0,1.0,8.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,3.0,12.0,2.0,0.0,9.0
MI,2005-01-07,2.1853403141361256,81.432741282696,-3.2557377049180327,-6.716666666666667,-10.178378378378378,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0
MI,2005-01-08,1.2152173913043478,84.01846657231088,-2.412154696132597,-5.081666666666667,-7.744198895027624,11.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0,2.0
MI,2005-01-09,0.365079365079365,85.77267325544057,-1.0868131868131867,-3.0225274725274724,-4.949180327868853,13.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,12.0,2.0,0.0,5.0,2.0,7.0,3.0,0.0,1.0
MI,2005-01-10,0.7572164948453608,79.35578624043055,-0.0179347826086956,-2.40625,-4.780540540540541,15.0,0.0,0.0,1.0,0.0,11.0,3.0,0.0,0.0,11.0,3.0,0.0,5.0,0.0,6.0,4.0,0.0,2.0
MI,2005-01-11,2.756701030927835,85.62765217383374,-0.1858695652173912,-3.0769021739130435,-5.936559139784946,24.0,1.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,11.0,0.0,0.0,4.0,0.0,11.0,2.0,0.0,3.0
MI,2005-01-12,8.026395939086294,93.0641603187123,4.488586956521739,0.8774456521739131,-2.724864864864865,47.0,10.0,24.0,9.0,0.0,32.0,0.0,0.0,0.0,12.0,2.0,0.0,12.0,5.0,5.0,6.0,1.0,1.0
MI,2005-01-13,16.766326530612243,89.84432438236092,9.289673913043478,2.7382513661202186,-3.801086956521739,38.0,3.0,17.0,9.0,0.0,6.0,0.0,0.0,3.0,12.0,0.0,0.0,11.0,0.0,12.0,2.0,0.0,3.0
MI,2005-01-14,5.619371727748691,71.7076142476172,0.0774725274725274,-6.989285714285714,-14.057923497267758,2.0,2.0,0.0,3.0,0.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,2.0
MI,2005-01-15,0.3136125654450262,67.61186929371698,-9.670391061452516,-12.744134078212287,-15.81,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0
MI,2005-01-16,0.2851851851851851,68.93762656617757,-9.993296089385474,-13.490449438202248,-16.932960893854748,8.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,3.0
MI,2005-01-17,0.7154255319148937,70.90710599661082,-11.440112994350285,-14.97175141242938,-18.46797752808989,5.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,3.0
MI,2005-01-18,1.0375661375661376,68.28472971248502,-10.044021739130434,-15.521467391304348,-20.984324324324323,8.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0
MI,2005-01-19,3.97434554973822,77.94991763231253,-4.209189189189189,-9.750810810810812,-15.279032258064516,14.0,2.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,5.0
MI,2005-01-20,0.6074468085106383,73.36256688461613,-5.040983606557377,-9.420491803278688,-13.785326086956522,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0
MI,2005-01-21,0.7269841269841271,72.9815123478782,-8.828415300546448,-13.993442622950822,-19.13586956521739,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
MI,2005-01-22,6.229608938547486,77.81065681957585,-9.224719101123595,-13.356741573033707,-17.48876404494382,13.0,9.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,12.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,10.0
MI,2005-01-23,3.291620111731844,69.39691760081404,-8.603351955307263,-14.55,-20.50333333333333,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0
MI,2005-01-24,0.4142857142857142,72.91538594363999,-4.605555555555555,-10.214804469273744,-15.864999999999998,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0
MI,2005-01-25,0.8624999999999999,81.8516010606818,-1.4103825136612025,-4.589835164835165,-7.755737704918032,14.0,2.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,11.0,0.0,0.0,2.0,1.0,8.0,2.0,0.0,3.0
MI,2005-01-26,1.307608695652174,78.63637065033856,-1.883060109289617,-6.783791208791209,-11.643715846994535,12.0,0.0,0.0,1.0,0.0,8.0,5.0,1.0,1.0,11.0,0.0,1.0,3.0,2.0,12.0,0.0,0.0,0.0
MI,2005-01-27,0.1898395721925133,72.37522889635491,-6.858011049723757,-14.151944444444444,-21.443093922651933,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
