STATE,DATE,PRCP,RH,TMAX,TAVG,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
MN,2005-01-01,3.2517647058823527,79.90048699170588,-5.481325301204819,-9.956060606060609,-14.384242424242425,9.0,5.0,22.0,26.0,0.0,25.0,0.0,1.0,1.0,8.0,0.0,1.0,5.0,5.0,7.0,3.0,0.0,5.0
MN,2005-01-02,6.182926829268292,83.96625485471823,-5.680120481927711,-11.102710843373494,-16.525301204819275,7.0,0.0,7.0,10.0,0.0,10.0,0.0,1.0,0.0,7.0,0.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0
MN,2005-01-03,0.1551136363636364,74.87264701013109,-10.347457627118644,-16.029378531073444,-21.68314606741573,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2005-01-04,0.076,74.14954401859521,-12.8061797752809,-17.088483146067414,-21.36927374301676,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0
MN,2005-01-05,0.6291428571428572,74.87027995092231,-14.438202247191011,-19.921629213483147,-25.405056179775283,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
MN,2005-01-06,0.5875706214689266,74.48983778834551,-12.9,-19.232865168539323,-25.62793296089385,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
MN,2005-01-07,0.0033898305084745,79.26411588805047,-9.820786516853932,-15.603089887640447,-21.38539325842697,5.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
MN,2005-01-08,0.0236686390532544,82.60598489130741,-8.50529411764706,-13.276923076923078,-18.08823529411765,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
MN,2005-01-09,0.7945783132530121,89.08706906518579,-6.855882352941176,-11.12814371257485,-15.467065868263472,19.0,5.0,0.0,3.0,0.0,7.0,4.0,0.0,0.0,8.0,0.0,2.0,3.0,2.0,8.0,3.0,0.0,5.0
MN,2005-01-10,1.5419161676646709,80.75789338970488,-8.233898305084747,-13.951694915254237,-19.66949152542373,4.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
MN,2005-01-11,0.4822857142857143,82.97302668465491,-9.176966292134832,-14.454213483146066,-19.7314606741573,10.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
MN,2005-01-12,2.933139534883721,91.03194313059475,-3.6864406779661016,-9.046610169491526,-14.40677966101695,17.0,7.0,0.0,5.0,0.0,10.0,0.0,1.0,0.0,8.0,0.0,1.0,1.0,0.0,7.0,3.0,0.0,7.0
MN,2005-01-13,2.112068965517241,76.66116336116552,-5.764044943820225,-13.790449438202248,-21.83128491620112,4.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0
MN,2005-01-14,0.0622222222222222,65.74369690236125,-18.269101123595505,-24.008988764044947,-29.748876404494386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2005-01-15,0.0,63.29212815891096,-19.465088757396448,-24.417751479289944,-29.348235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MN,2005-01-16,0.0,69.9201444335008,-19.0414201183432,-25.060650887573964,-31.12235294117648,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MN,2005-01-17,0.0016949152542372,71.70811443011596,-17.823076923076922,-25.56242603550296,-33.35411764705882,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
MN,2005-01-18,0.5295454545454545,75.83952647573072,-7.722727272727273,-17.041666666666668,-26.48,7.0,2.0,0.0,9.0,0.0,2.0,4.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,3.0
MN,2005-01-19,1.695454545454545,78.40901022578491,-3.2681564245810057,-9.00561797752809,-14.790449438202248,5.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0
MN,2005-01-20,0.865340909090909,86.18875078000403,-8.012921348314606,-10.397175141242938,-12.805084745762713,17.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,1.0
MN,2005-01-21,3.0662857142857143,89.27155035363758,-6.634078212290503,-9.26320224719101,-11.923595505617978,12.0,7.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,8.0,1.0,0.0,8.0
MN,2005-01-22,8.325595238095238,81.939996836747,-6.999408284023669,-12.782530120481928,-18.589156626506025,9.0,0.0,0.0,1.0,0.0,2.0,5.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,2.0
MN,2005-01-23,0.087719298245614,78.64472387153373,-6.701785714285715,-13.780239520958084,-20.892857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MN,2005-01-24,0.1702247191011236,83.74210247021719,-2.7823863636363635,-7.63448275862069,-12.52183908045977,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
MN,2005-01-25,0.1870056497175141,87.9419229412241,1.456741573033708,-3.325,-8.164772727272727,15.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MN,2005-01-26,0.096045197740113,79.81795258152187,-0.8114285714285714,-7.835344827586207,-14.870689655172416,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0
MN,2005-01-27,0.0203389830508474,80.62745245036075,-5.834090909090909,-13.078,-20.372881355932204,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
MN,2005-01-28,0.3988700564971751,80.96141381204424,-3.2788571428571425,-7.986781609195402,-12.787428571428572,5.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0
MN,2005-01-29,0.8760479041916167,84.0837269708908,-1.5769230769230769,-4.335029940119761,-7.091666666666667,18.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0
MN,2005-01-30,0.0715116279069767,86.46685409993827,-0.6779761904761905,-2.80210843373494,-4.93132530120482,17.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MN,2005-01-31,0.2261627906976744,89.68254588606551,0.3505747126436782,-1.4973837209302323,-3.3656976744186045,30.0,1.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
MN,2005-02-01,0.0672043010752688,88.58688779132532,1.7039325842696629,-0.0779661016949152,-1.8790960451977403,30.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2005-02-02,0.0,89.14910974862926,3.447457627118644,0.5170454545454546,-2.4295454545454547,31.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2005-02-03,0.0,81.16478450145549,6.259659090909091,1.6274285714285714,-3.0308571428571427,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2005-02-04,0.0,78.63635272895156,8.426966292134832,2.8940677966101696,-2.6677966101694914,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MN,2005-02-05,0.0,79.02766831220725,9.527810650887574,3.4384615384615387,-2.6508875739644973,10.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
MN,2005-02-06,0.3559782608695652,79.05244844074672,4.365680473372781,-2.6291666666666664,-9.580357142857142,9.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0
