STATE,DATE,PRCP,RH,TMAX,TAVG,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
NE,2005-01-01,0.0364102564102564,72.97906340866895,4.848780487804878,-1.1542682926829269,-7.157317073170732,18.0,0.0,1.0,3.0,0.0,25.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0
NE,2005-01-02,0.1143589743589743,81.64044763929836,1.895151515151515,-4.465757575757576,-10.83855421686747,5.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0
NE,2005-01-03,0.7341137123745819,83.4154816198024,-0.4976470588235294,-5.191470588235294,-9.885294117647058,7.0,0.0,0.0,21.0,0.0,30.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,4.0,2.0,4.0,0.0,0.0
NE,2005-01-04,1.4660311958405543,87.29981212504349,-4.552046783625731,-8.341764705882353,-12.130588235294116,9.0,5.0,1.0,17.0,0.0,22.0,0.0,1.0,1.0,1.0,8.0,0.0,2.0,2.0,0.0,8.0,3.0,0.0,6.0
NE,2005-01-05,7.708635578583765,84.61353082625439,-10.528070175438597,-14.629824561403508,-18.73157894736842,6.0,2.0,1.0,9.0,0.0,6.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,2.0,1.0,8.0,2.0,0.0,5.0
NE,2005-01-06,2.985365853658537,81.37316125590351,-10.629411764705882,-16.97705882352941,-23.32470588235294,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0
NE,2005-01-07,0.0119791666666666,84.70794449966361,-5.010119047619048,-11.967365269461078,-18.91437125748503,11.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
NE,2005-01-08,0.0008741258741258,86.43773887044422,-2.2048192771084336,-9.507831325301204,-16.84311377245509,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
NE,2005-01-09,0.0128070175438596,89.59314222758918,-0.103012048192771,-6.430120481927712,-12.75722891566265,45.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0
NE,2005-01-10,0.0761821366024518,86.66905107263487,-0.9124260355029584,-5.736686390532545,-10.56094674556213,16.0,1.0,0.0,5.0,0.0,5.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,1.0
