STATE,DATE,PRCP,RH,TMAX,TAVG,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
OH,2005-01-01,0.5549295774647887,85.8851945376788,11.878181818181815,8.345,4.8118181818181816,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
OH,2005-01-02,2.397163120567376,91.61815902371411,12.452727272727271,8.58,4.707272727272727,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
OH,2005-01-03,16.101408450704227,96.30836422217556,13.324545454545454,10.027272727272727,6.73,19.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0
OH,2005-01-04,17.63611111111111,94.54253016295635,9.542477876106194,6.615929203539824,3.6893805309734513,16.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
OH,2005-01-05,24.322222222222223,94.01148243920387,5.257657657657658,3.211261261261261,1.164864864864865,12.0,0.0,0.0,7.0,0.0,13.0,0.0,0.0,0.0,10.0,1.0,2.0,10.0,7.0,6.0,5.0,0.0,1.0
OH,2005-01-06,28.602127659574467,91.1913306353388,3.713761467889909,1.6344036697247708,-0.4449541284403669,11.0,1.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,10.0,1.0,0.0,10.0,5.0,9.0,3.0,0.0,0.0
OH,2005-01-07,1.8104895104895105,76.99054905764488,3.165454545454545,0.1518181818181817,-2.861818181818182,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
OH,2005-01-08,9.48642857142857,89.69607190061113,2.953211009174312,0.6802752293577983,-1.5926605504587157,9.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,8.0,2.0,8.0,1.0,0.0,3.0
OH,2005-01-09,0.6118881118881119,85.65029312075805,4.210909090909091,1.980909090909091,-0.249090909090909,10.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
OH,2005-01-10,0.6124137931034482,83.20772816799766,6.66875,3.574107142857143,0.4794642857142857,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
OH,2005-01-11,11.998620689655173,92.76225071869352,6.420909090909091,3.8490909090909087,1.2772727272727271,17.0,2.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,0.0,10.0,1.0,3.0,3.0,0.0,0.0
OH,2005-01-12,26.38251748251748,91.00555503777277,14.617272727272727,9.698181818181816,4.779090909090909,17.0,2.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
OH,2005-01-13,6.151724137931034,74.15069811495616,18.463063063063064,12.788288288288287,7.113513513513514,11.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,7.0,1.0,0.0,0.0
OH,2005-01-14,11.728472222222225,76.21283140306603,11.84909090909091,4.120909090909091,-3.607272727272728,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0
OH,2005-01-15,0.1234042553191489,68.44491146083728,-1.1805555555555556,-4.458796296296296,-7.737037037037037,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
OH,2005-01-16,1.0943262411347516,75.33828499378357,-2.9871559633027527,-6.3252293577981655,-9.663302752293578,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,1.0
OH,2005-01-17,0.9316901408450704,71.55032622142102,-7.103636363636364,-11.228636363636364,-15.353636363636364,7.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0
OH,2005-01-18,0.3937062937062937,67.44536897320201,-8.225,-13.138839285714283,-18.05267857142857,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
OH,2005-01-19,2.433333333333333,74.42915986824644,-2.736607142857143,-8.30669642857143,-13.876785714285717,9.0,0.0,0.0,2.0,0.0,5.0,2.0,3.0,0.0,10.0,0.0,1.0,5.0,2.0,10.0,4.0,0.0,1.0
OH,2005-01-20,1.118881118881119,78.51364505966164,-1.2045045045045044,-4.108558558558559,-7.012612612612612,7.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0
OH,2005-01-21,2.627272727272727,69.1151299295045,-4.941441441441442,-8.654054054054054,-12.366666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
OH,2005-01-22,3.6326241134751776,76.17694854750182,-4.25945945945946,-8.431081081081082,-12.602702702702704,7.0,6.0,2.0,6.0,0.0,7.0,3.0,5.0,0.0,9.0,0.0,1.0,4.0,4.0,10.0,4.0,0.0,8.0
OH,2005-01-23,2.359154929577465,71.20652003885024,-6.081081081081081,-11.646846846846849,-17.212612612612613,3.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0
OH,2005-01-24,0.0846153846153846,71.85249848269419,-6.027927927927928,-12.585135135135136,-19.142342342342346,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
OH,2005-01-25,0.1089655172413793,73.85911834394989,0.8535714285714285,-4.787053571428571,-10.427678571428572,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
OH,2005-01-26,0.0694444444444444,75.55747453223496,4.921818181818182,-1.088181818181818,-7.098181818181818,7.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,8.0,1.0,1.0,3.0,0.0,8.0,2.0,0.0,0.0
OH,2005-01-27,0.0248275862068965,70.3739689551964,-1.7263636363636363,-8.246818181818181,-14.767272727272728,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
OH,2005-01-28,0.0020833333333333,61.56753725234616,-4.616216216216216,-10.524774774774777,-16.433333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2005-01-29,0.9422535211267604,57.82954573924216,-0.3445454545454545,-5.788636363636364,-11.232727272727272,11.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,2.0,10.0,1.0,0.0,4.0
OH,2005-01-30,3.16013986013986,83.23264090420706,0.8128440366972477,-3.060091743119266,-6.93302752293578,11.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,2.0
