STATE,DATE,PRCP,RH,TMAX,TAVG,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
PA,2005-01-01,0.4730569948186528,70.10739261155757,13.035714285714286,7.774999999999999,2.5142857142857142,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,2005-01-02,0.8533333333333334,74.32718052051231,11.092248062015504,5.27890625,-0.4953125,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0
PA,2005-01-03,5.179896907216495,91.08661519634856,10.017557251908396,6.451908396946565,2.886259541984733,24.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
PA,2005-01-04,13.693401015228426,91.89410640199893,10.348854961832062,7.431679389312976,4.514503816793893,17.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,10.0,0.0,1.0,1.0,0.0,1.0
PA,2005-01-05,11.943367346938777,93.05366849188712,6.940458015267176,4.196564885496184,1.452671755725191,14.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,10.0,3.0,0.0,8.0,2.0,5.0,3.0,0.0,2.0
PA,2005-01-06,23.52091836734694,94.22496795348684,4.283720930232558,1.8244186046511628,-0.6348837209302325,19.0,1.0,0.0,10.0,0.0,13.0,0.0,0.0,1.0,10.0,3.0,0.0,10.0,5.0,4.0,5.0,0.0,0.0
PA,2005-01-07,6.832142857142856,71.63785942024535,4.829770992366413,1.7301526717557252,-1.369465648854962,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0
PA,2005-01-08,8.14102564102564,87.29776201504626,4.074418604651163,1.441472868217054,-1.191472868217054,15.0,1.0,1.0,4.0,0.0,10.0,2.0,0.0,0.0,10.0,1.0,0.0,10.0,3.0,4.0,3.0,0.0,0.0
PA,2005-01-09,3.775257731958763,80.5487504591226,4.493798449612403,1.9232558139534883,-0.6472868217054264,7.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PA,2005-01-10,0.370408163265306,80.93660194931523,4.938167938931297,2.0759541984732826,-0.7862595419847328,14.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,9.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0
PA,2005-01-11,3.146428571428572,85.08977770460834,5.109160305343512,1.821538461538461,-1.406923076923077,15.0,2.0,2.0,9.0,0.0,3.0,0.0,0.0,0.0,10.0,2.0,0.0,10.0,2.0,7.0,4.0,0.0,3.0
PA,2005-01-12,15.46751269035533,95.06551981902696,6.49,3.6065384615384617,0.7230769230769231,36.0,6.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,10.0,3.0,0.0,9.0,1.0,0.0,3.0,1.0,0.0
PA,2005-01-13,3.635051546391753,85.77824744202353,12.266923076923078,7.853875968992248,3.5123076923076924,43.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,10.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0
PA,2005-01-14,20.91794871794872,78.76681274167203,16.313846153846157,7.969230769230769,-0.3753846153846153,16.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,9.0,0.0,7.0,1.0,0.0,1.0
PA,2005-01-15,1.5833333333333333,62.03219492073048,1.280952380952381,-3.2464285714285714,-7.773809523809524,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PA,2005-01-16,0.2015706806282722,72.16971905536869,-1.6456692913385826,-4.76984126984127,-7.907142857142857,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0
PA,2005-01-17,2.647894736842105,68.1722373041779,-3.662992125984252,-7.46220472440945,-11.261417322834646,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,9.0,2.0,0.0,1.0
PA,2005-01-18,0.572538860103627,54.87796458415277,-7.826923076923077,-11.633846153846154,-15.42442748091603,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0
PA,2005-01-19,0.67720207253886,65.54374237779166,-7.180916030534352,-11.164503816793893,-15.148091603053436,7.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,3.0
PA,2005-01-20,2.4262886597938143,70.30398862950172,-3.089922480620156,-6.620930232558139,-10.151937984496124,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0
PA,2005-01-21,0.0262886597938144,54.08992314261641,-5.096124031007752,-10.427131782945736,-15.75813953488372,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PA,2005-01-22,3.0812834224598933,68.26093547080262,-7.52755905511811,-12.53464566929134,-17.54173228346457,10.0,8.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,10.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,7.0
PA,2005-01-23,7.796335078534031,69.64883541203105,-7.551181102362205,-11.743700787401576,-15.936220472440946,4.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,5.0,0.0,0.0,1.0,1.0,10.0,2.0,0.0,0.0
PA,2005-01-24,0.89,65.2032023389592,-8.13076923076923,-13.73,-19.32923076923077,8.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0
PA,2005-01-25,0.9230366492146598,73.17502383740671,-2.6441860465116283,-8.051162790697674,-13.45813953488372,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
PA,2005-01-26,0.609278350515464,72.4712593391325,2.2438461538461536,-2.328294573643411,-6.870542635658914,5.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,5.0,4.0,0.0,0.0
PA,2005-01-27,0.0948979591836734,57.03705513793558,-1.2253846153846155,-8.691923076923077,-16.158461538461538,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
PA,2005-01-28,0.0,52.73589251799016,-5.799230769230769,-12.717692307692309,-19.63615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PA,2005-01-29,0.1025773195876288,50.4066572187909,-1.984375,-9.86875,-17.753125,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
PA,2005-01-30,1.3963917525773195,66.61223580626383,1.573228346456693,-4.440079365079366,-10.452380952380953,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
PA,2005-01-31,0.0456410256410256,60.57343282933326,3.0325581395348835,-4.677906976744186,-12.388372093023255,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
