STATE,DATE,PRCP,RH,TMAX,TAVG,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
SD,2005-01-01,0.5456043956043956,77.54399787764704,-6.70063694267516,-10.370063694267516,-14.020886075949369,9.0,1.0,1.0,6.0,0.0,7.0,0.0,2.0,1.0,0.0,5.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0
SD,2005-01-02,0.4877777777777777,77.73564778776384,-7.392948717948718,-12.676129032258064,-17.95,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2005-01-03,0.1077348066298342,74.197671496831,-6.015822784810126,-11.529430379746836,-17.043037974683546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SD,2005-01-04,1.38,78.76039879582557,-8.614012738853503,-13.185350318471338,-17.75,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0
SD,2005-01-05,1.838121546961326,77.55900203862385,-13.9126582278481,-17.627531645569622,-21.34240506329114,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
SD,2005-01-06,0.2983333333333333,76.90864856699731,-10.151265822784811,-17.040822784810125,-23.944025157232705,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SD,2005-01-07,0.1273743016759776,77.61686928640019,-6.7740506329113925,-13.015286624203824,-19.209554140127388,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
SD,2005-01-08,0.0606741573033707,81.10101081024955,-4.9192307692307695,-11.433548387096774,-17.96258064516129,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0
SD,2005-01-09,0.8161111111111111,82.82569802293168,-4.4759740259740255,-9.490584415584417,-14.501290322580644,13.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,6.0,0.0,1.0,3.0,2.0,6.0,3.0,0.0,3.0
SD,2005-01-10,0.3765363128491619,81.1223706241749,-6.530573248407643,-11.464423076923078,-16.46751592356688,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
SD,2005-01-11,0.7502762430939226,85.05071506375081,-5.684905660377359,-10.528301886792454,-15.371698113207549,9.0,4.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,3.0,3.0,6.0,1.0,0.0,5.0
SD,2005-01-12,1.8111111111111111,83.35841010685228,-3.1279503105590063,-8.08447204968944,-13.040993788819875,10.0,1.0,0.0,2.0,0.0,5.0,0.0,3.0,1.0,0.0,6.0,0.0,1.0,2.0,1.0,6.0,0.0,0.0,2.0
