STATE,DATE,PRCP,RH,TMAX,TAVG,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
TX,2005-01-01,0.426046511627907,80.7319328660767,22.580043859649123,17.303406593406592,12.03076923076923,52.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,24.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0
TX,2005-01-02,2.93328125,87.48360821009099,21.727789934354487,17.631359649122807,13.538377192982455,56.0,5.0,15.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,33.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
TX,2005-01-03,6.920493066255777,87.02899963548316,21.37557894736842,17.818315789473687,14.261052631578949,59.0,8.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,30.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
TX,2005-01-04,2.724732824427481,86.68926401574605,21.64116424116424,17.706444906444904,13.771725571725572,56.0,5.0,12.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,26.0,3.0,0.0,28.0,2.0,2.0,2.0,1.0,0.0
TX,2005-01-05,3.538402457757297,84.58344603511777,19.155230125523016,13.517505241090149,7.866457023060797,49.0,0.0,7.0,5.0,1.0,7.0,0.0,2.0,0.0,0.0,30.0,6.0,1.0,29.0,3.0,7.0,4.0,0.0,0.0
TX,2005-01-06,1.794607087827427,76.80146495215452,11.653235908141962,5.775523012552301,-0.0951882845188284,29.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,18.0,4.0,0.0,21.0,1.0,1.0,1.0,1.0,2.0
TX,2005-01-07,1.574347158218126,76.73014784287176,9.77110187110187,4.961482254697287,0.1711899791231733,30.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,26.0,6.0,0.0,18.0,1.0,0.0,1.0,0.0,0.0
TX,2005-01-08,0.6490015360983102,75.27197221059036,14.958898305084746,8.078343949044585,1.2131634819532908,47.0,10.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,27.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0
TX,2005-01-09,0.0433846153846153,75.04729413709627,19.27580299785867,11.77027896995708,4.265021459227468,39.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,22.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
TX,2005-01-10,0.1131901840490797,80.39327046596522,22.737160751565764,16.367819706498953,10.0020964360587,53.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,29.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
TX,2005-01-11,0.072644376899696,76.08627507066068,23.21330561330561,17.36774530271399,11.525052192066806,55.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
TX,2005-01-12,0.7765243902439024,72.38103676652325,22.61530398322851,17.104105263157894,11.591157894736842,20.0,0.0,37.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,14.0,0.0,0.0,20.0,0.0,3.0,1.0,0.0,0.0
TX,2005-01-13,5.388018433179723,55.6850524262677,18.81064718162839,11.163702928870292,3.5110878661087863,10.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
TX,2005-01-14,0.0847094801223241,54.83843554085769,13.930105263157897,6.446308016877637,-1.021802935010482,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
TX,2005-01-15,0.0021406727828746,61.73361691471986,12.948931623931625,5.856989247311828,-1.192703862660944,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
TX,2005-01-16,0.0157733537519142,68.8079670070511,9.910828025477707,3.598933901918977,-2.6759061833688698,14.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
TX,2005-01-17,0.0129770992366412,68.67054647669768,9.473347547974411,3.0868589743589747,-3.25820895522388,11.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
TX,2005-01-18,0.041400304414003,66.39675508495345,11.202296450939455,5.066142557651992,-1.0355648535564854,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0
TX,2005-01-19,0.0860643185298621,70.29949395754882,14.62531380753138,8.534171907756814,2.481589958158996,25.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0
TX,2005-01-20,0.0212213740458015,71.39091950260075,20.400420168067228,12.369157894736842,4.356184486373166,51.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
TX,2005-01-21,0.0277016742770167,66.47989389462138,23.166179540709813,14.314644351464434,5.457740585774059,46.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
TX,2005-01-22,0.0199391171993911,62.73529316643939,21.100211864406777,13.040851063829788,4.9568085106382975,29.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
TX,2005-01-23,0.0901065449010654,41.99852407874019,13.73044397463002,5.762765957446809,-2.209787234042553,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TX,2005-01-24,0.0827743902439024,50.16377950254629,13.423109243697478,6.224418604651163,-0.938818565400844,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
TX,2005-01-25,0.0007645259938837,56.4287098615462,20.518371607515657,11.87583682008368,3.2705636743215027,13.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
TX,2005-01-26,0.5611620795107034,60.11847021229287,23.303941908713693,14.817916666666669,6.325,26.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
TX,2005-01-27,5.75139318885449,74.08609112003403,18.36498951781971,12.588842105263158,6.801894736842105,45.0,3.0,12.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,34.0,5.0,0.0,38.0,1.0,2.0,1.0,0.0,0.0
TX,2005-01-28,13.513467492260062,87.98810046503033,11.862105263157895,8.202748414376321,4.569198312236288,62.0,5.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,37.0,1.0,0.0,29.0,0.0,3.0,0.0,0.0,2.0
TX,2005-01-29,0.8694573643410852,87.25157441605116,12.18955223880597,8.396252676659529,4.632762312633833,75.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,35.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
TX,2005-01-30,1.6522691705790296,87.31004912215077,11.345474137931037,8.15572354211663,4.976241900647948,74.0,6.0,3.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,36.0,7.0,0.0,33.0,2.0,2.0,0.0,0.0,1.0
TX,2005-01-31,5.682472613458529,90.61154327382044,9.033686440677965,6.528404255319149,4.049256900212314,47.0,2.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,34.0,8.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
TX,2005-02-01,5.9043276661514685,88.93330177808916,6.74033264033264,4.9140625,3.0922916666666667,38.0,3.0,29.0,5.0,0.0,2.0,0.0,4.0,0.0,0.0,35.0,7.0,1.0,33.0,0.0,7.0,2.0,0.0,1.0
