STATE,DATE,PRCP,RH,TMAX,TAVG,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
WI,2005-01-01,2.2045685279187817,73.75809097924308,1.709937888198758,-3.7709375,-9.24875,9.0,0.0,3.0,32.0,0.0,25.0,0.0,0.0,0.0,6.0,2.0,1.0,6.0,6.0,2.0,4.0,0.0,0.0
WI,2005-01-02,9.85408163265306,87.8790596360592,0.5191358024691358,-3.462345679012345,-7.443827160493828,8.0,0.0,5.0,27.0,2.0,18.0,0.0,0.0,0.0,6.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0
WI,2005-01-03,0.1974874371859296,77.00822866406608,-2.079878048780488,-6.180182926829268,-10.326060606060606,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
WI,2005-01-04,0.4068627450980392,75.86772322444214,-5.7850299401197605,-8.275149700598803,-10.765269461077844,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
WI,2005-01-05,1.7852216748768472,75.16291623171226,-6.134523809523809,-9.476785714285716,-12.819047619047618,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
WI,2005-01-06,5.065365853658537,79.85289526135527,-7.675595238095238,-10.750297619047618,-13.825,5.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,3.0
WI,2005-01-07,0.3431372549019608,82.40693318496058,-6.638323353293413,-11.71437125748503,-16.790419161676645,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
WI,2005-01-08,0.0358585858585858,82.60490764563838,-6.532298136645963,-10.270807453416149,-14.009316770186336,8.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
WI,2005-01-09,0.1833333333333333,88.04724123005188,-4.211111111111111,-7.018518518518518,-9.837423312883436,21.0,0.0,0.0,3.0,0.0,10.0,3.0,0.0,0.0,6.0,1.0,2.0,2.0,0.0,5.0,0.0,0.0,1.0
WI,2005-01-10,0.4762626262626262,79.78250422248144,-2.975301204819277,-7.414759036144578,-11.876646706586827,7.0,0.0,0.0,2.0,0.0,11.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
