STATE,DATE,TAVG,TMAX,PRCP,RH,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
IL,2006-01-01,3.0612179487179487,7.121794871794871,0.3763636363636363,81.90932565129069,-0.9993589743589744,18.0,0.0,5.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
IL,2006-01-02,7.723397435897435,12.618589743589745,4.695636363636363,85.45018133447637,2.828205128205128,45.0,1.0,78.0,2.0,17.0,0.0,5.0,0.0,0.0,1.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
IL,2006-01-03,7.028980891719745,10.42420382165605,4.4322344322344325,91.346718812793,3.63375796178344,57.0,2.0,10.0,0.0,7.0,0.0,3.0,0.0,0.0,1.0,6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
IL,2006-01-04,4.638535031847134,6.787261146496815,0.2592727272727272,88.06612068594048,2.489808917197452,43.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
IL,2006-01-05,2.747452229299363,5.36624203821656,0.1079710144927536,83.75959993324301,0.1286624203821656,17.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
IL,2006-01-06,0.0092356687898089,1.6955414012738852,0.1291970802919708,74.00093119548247,-1.6770700636942677,3.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IL,2006-01-07,0.9439102564102564,3.9570512820512818,0.0018315018315018,75.02861334024365,-2.069230769230769,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2006-01-08,4.825961538461539,10.037820512820511,0.0131868131868131,68.74720716638298,-0.3858974358974359,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IL,2006-01-09,5.898076923076923,11.01464968152866,0.281090909090909,73.4372376766315,0.8141025641025641,7.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2006-01-10,1.4286624203821656,4.587261146496815,3.0647272727272727,82.96095763475482,-1.729936305732484,32.0,1.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
IL,2006-01-11,3.146794871794872,6.5301282051282055,5.964338235294117,86.18688175526015,-0.2365384615384615,44.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0
IL,2006-01-12,6.185031847133757,10.99235668789809,0.8192727272727273,74.74114997690899,1.3777070063694268,8.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IL,2006-01-13,6.5886075949367084,12.481645569620254,4.743115942028985,86.58308554977435,0.6955696202531646,31.0,7.0,8.0,7.0,0.0,2.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,1.0
IL,2006-01-14,0.4907643312101911,4.407006369426751,4.319188191881919,73.09723469199642,-3.4254777070063693,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2006-01-15,0.5619354838709677,4.678064516129033,0.1018315018315018,77.61429405037381,-3.554193548387097,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2006-01-16,3.949681528662421,8.686075949367089,0.634065934065934,74.25982515417701,-0.767515923566879,8.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IL,2006-01-17,3.812974683544304,9.445569620253163,4.078966789667897,83.91364259577841,-1.8196202531645569,19.0,1.0,0.0,9.0,0.0,3.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0
