STATE,DATE,TAVG,TMAX,PRCP,RH,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
IN,2006-01-01,2.641304347826087,6.9,0.5448275862068965,76.99631344422642,-1.524731182795699,11.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-02,8.110526315789473,13.377319587628865,4.451388888888889,83.79364432261781,2.901052631578948,18.0,2.0,31.0,1.0,12.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
IN,2006-01-03,8.725,12.925,5.6000000000000005,91.34312704648396,4.525,26.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-04,6.155102040816327,8.397979797979797,0.4691275167785234,88.24546139230816,3.906060606060606,21.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-05,4.045544554455446,7.128712871287129,0.0673333333333333,82.53522945590028,0.9623762376237625,14.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0
IN,2006-01-06,0.463131313131313,2.342,0.1222972972972973,70.63211618760971,-1.6191919191919193,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IN,2006-01-07,0.4719387755102041,2.933333333333333,0.004054054054054,72.04786359687466,-1.962244897959184,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-08,4.098958333333333,9.151041666666666,0.0,68.8719841914264,-0.953125,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-09,6.7515,12.219,0.1236486486486486,72.59867849310851,1.284,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-10,2.7782828282828285,5.792999999999999,2.487248322147651,81.46044908034511,-0.2444444444444444,20.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-11,4.745049504950496,8.527722772277228,6.947945205479452,88.23875358508597,0.9623762376237625,15.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-12,5.8,9.516,0.6724832214765101,69.5608474373263,2.084,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-13,7.791,13.095999999999998,9.770860927152318,82.30697554204846,2.486,15.0,0.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0
IN,2006-01-14,3.513,8.327,9.233333333333333,71.4555415410197,-1.301,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IN,2006-01-15,0.0127551020408163,4.243877551020408,0.1181208053691275,75.67272295078644,-4.218367346938775,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-16,2.926,8.212,0.4675675675675675,67.17339234946604,-2.36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-17,5.216336633663366,11.266336633663368,9.789261744966442,89.26038029669033,-0.8336633663366337,22.0,2.0,0.0,3.0,0.0,5.0,1.0,1.0,0.0,0.0,3.0,2.0,4.0,1.0,4.0,0.0,0.0,1.0
IN,2006-01-18,0.2784313725490195,5.15,7.383561643835616,77.39675994164955,-4.5931372549019605,11.0,0.0,2.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IN,2006-01-19,2.6826732673267326,8.155445544554455,0.2662251655629139,69.99923771932713,-2.7900990099009904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-20,9.513,13.973,0.6313333333333333,75.17289888356093,5.053,8.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-21,6.356060606060606,12.290909090909093,4.746979865771812,78.52289695043866,0.439,13.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0
IN,2006-01-22,1.3413265306122448,5.15,1.1906040268456377,81.809144838346,-2.4673469387755103,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-23,0.9524509803921568,4.190196078431373,4.443046357615894,80.591146511415,-2.2852941176470587,25.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
IN,2006-01-24,1.2269607843137256,5.864705882352942,0.1105960264900662,75.7048229714501,-3.41078431372549,13.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0
IN,2006-01-25,1.8799019607843137,6.335294117647059,0.1980263157894737,66.7063106913599,-2.575490196078431,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IN,2006-01-26,-1.0151960784313725,4.147058823529412,0.0164473684210526,69.13175053131718,-6.177450980392157,13.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IN,2006-01-27,1.6563725490196075,7.822549019607843,0.0,60.25959885755792,-4.509803921568627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-28,6.429591836734694,11.705102040816326,1.0344594594594594,57.07344265074073,1.1540816326530612,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-29,9.533673469387754,13.441836734693878,12.00608108108108,80.41722210121725,5.625510204081632,13.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2006-01-30,5.807,10.307,2.0134228187919465,80.967340421844,1.307,16.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0
IN,2006-01-31,2.464,5.278,0.2225165562913907,76.59743288969275,-0.35,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IN,2006-02-01,3.2985,7.779,0.0,66.97432132406706,-1.182,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2006-02-02,5.589,11.166,3.264900662251656,83.32983001657831,0.0119999999999999,23.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
IN,2006-02-03,5.009,8.221,10.605960264900665,86.94772272309088,1.797,22.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2006-02-04,3.3429292929292926,8.225252525252525,3.767132867132867,86.01629960628149,-1.5393939393939395,14.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
IN,2006-02-05,-2.5,0.5185567010309279,2.1294520547945206,80.1868106657935,-5.535714285714286,10.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IN,2006-02-06,-3.3355,0.495,0.2295302013422819,65.75940687468405,-7.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IN,2006-02-07,-2.7060000000000004,2.1830000000000003,0.0,58.91207973973944,-7.595,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2006-02-08,-2.4863636363636363,1.5616161616161617,0.1211538461538461,65.68722219418592,-6.534343434343434,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IN,2006-02-09,-3.9055,1.099,0.4314102564102564,67.21562571750506,-8.91,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IN,2006-02-10,-2.3156565656565657,2.0666666666666664,0.0249999999999999,68.33647687154281,-6.697979797979798,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
IN,2006-02-11,-0.1628865979381443,3.868041237113402,0.2597402597402597,84.36191499136929,-4.193814432989691,24.0,6.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
IN,2006-02-12,-1.6644329896907215,1.9989690721649485,0.8792207792207792,80.85815835153704,-5.327835051546392,13.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0
IN,2006-02-13,-3.3255,0.8109999999999999,0.4559210526315789,71.082348803231,-7.462000000000001,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IN,2006-02-14,0.164141414141414,5.604040404040403,0.0833333333333333,59.16052688856443,-5.275757575757575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
