STATE,DATE,TAVG,TMAX,PRCP,RH,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
MI,2006-01-01,0.0927419354838709,1.7704301075268818,1.0661458333333331,87.9631340681216,-1.5849462365591398,33.0,1.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,12.0,1.0,0.0,7.0,0.0,6.0,1.0,0.0,3.0
MI,2006-01-02,1.123015873015873,2.732804232804233,3.7137755102040817,90.36541971320244,-0.4867724867724867,35.0,2.0,25.0,1.0,2.0,0.0,3.0,0.0,0.0,10.0,2.0,0.0,8.0,0.0,3.0,1.0,0.0,2.0
MI,2006-01-03,1.6457894736842105,2.9649214659685863,2.354639175257732,92.07943834539329,0.3342105263157894,50.0,8.0,1.0,2.0,0.0,6.0,3.0,0.0,0.0,8.0,4.0,0.0,10.0,2.0,2.0,1.0,0.0,0.0
MI,2006-01-04,2.173834196891192,3.674226804123711,2.036040609137056,95.06191885337007,0.689119170984456,64.0,8.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,8.0,5.0,0.0,12.0,0.0,9.0,1.0,0.0,0.0
MI,2006-01-05,0.405440414507772,3.17319587628866,4.194871794871795,86.96468766950632,-2.3756476683937824,28.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,9.0,1.0,0.0,10.0,1.0,12.0,4.0,0.0,0.0
MI,2006-01-06,-4.193298969072165,-0.5646153846153846,0.971938775510204,74.2003629706637,-7.810309278350516,15.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
MI,2006-01-07,-3.497631578947368,-0.9345549738219896,0.7515463917525774,85.05798952656637,-6.061578947368421,30.0,2.0,0.0,5.0,0.0,17.0,12.0,0.0,0.0,9.0,2.0,2.0,6.0,1.0,12.0,2.0,0.0,1.0
MI,2006-01-08,-1.7297368421052632,1.0586387434554974,0.3658031088082901,85.24333504616652,-4.5005263157894735,28.0,2.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0
MI,2006-01-09,-1.0657068062827226,1.803125,0.7398963730569948,83.32547694070863,-3.915104166666667,25.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0
MI,2006-01-10,-2.3018324607329843,1.9984375,0.4375634517766497,72.98593864329557,-6.546354166666667,21.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,8.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0
MI,2006-01-11,-0.2333333333333333,3.844270833333333,1.8231155778894472,88.82996048839793,-4.27979274611399,57.0,10.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,9.0,4.0,0.0,11.0,3.0,3.0,1.0,0.0,0.0
MI,2006-01-12,3.047916666666667,6.891145833333333,0.5005128205128205,81.87496629030393,-0.7823834196891192,24.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MI,2006-01-13,3.4900523560209424,7.6953125,3.746969696969697,84.05766176665635,-0.7135416666666666,33.0,4.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,10.0,3.0,0.0,1.0
MI,2006-01-14,-0.996505376344086,3.098930481283422,6.226984126984127,74.68638735265948,-5.063636363636364,13.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0
MI,2006-01-15,-4.387433155080214,-1.2703703703703704,0.1626943005181347,74.64997380767957,-7.495744680851064,5.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0
MI,2006-01-16,-3.5851063829787235,-0.9889473684210528,0.2804123711340206,74.53212255674033,-6.116931216931216,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MI,2006-01-17,-1.8843915343915345,0.6338541666666667,5.386979166666666,84.09027407129736,-4.406842105263157,36.0,8.0,0.0,6.0,0.0,29.0,1.0,0.0,0.0,5.0,1.0,0.0,11.0,6.0,11.0,3.0,0.0,2.0
MI,2006-01-18,-2.10703125,0.555440414507772,8.617676767676768,87.2291920608173,-4.745876288659794,26.0,3.0,0.0,2.0,0.0,6.0,19.0,2.0,0.0,10.0,0.0,0.0,5.0,0.0,13.0,2.0,0.0,2.0
MI,2006-01-19,-3.8205729166666655,0.6737113402061855,0.7693877551020407,81.25403887157313,-8.190155440414507,19.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0
MI,2006-01-20,-0.144041450777202,4.344845360824742,2.6593908629441625,85.52974328076998,-4.589119170984456,32.0,4.0,1.0,4.0,1.0,3.0,12.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,8.0,1.0,0.0,3.0
MI,2006-01-21,-1.2680628272251309,2.6031413612565446,8.157978723404256,81.72795119688547,-5.139267015706807,27.0,6.0,1.0,5.0,0.0,4.0,4.0,0.0,1.0,5.0,0.0,0.0,6.0,2.0,11.0,2.0,1.0,5.0
MI,2006-01-22,-3.260372340425532,1.7168421052631575,0.109375,83.58694548824437,-8.23776595744681,28.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,4.0
MI,2006-01-23,-2.02434554973822,1.92565445026178,0.0178010471204188,78.43062762047438,-5.97434554973822,21.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
MI,2006-01-24,-1.2968586387434555,1.7651041666666665,1.1943877551020408,78.94561203398838,-4.33125,28.0,6.0,0.0,1.0,1.0,2.0,21.0,0.0,2.0,4.0,0.0,0.0,7.0,0.0,12.0,3.0,0.0,3.0
MI,2006-01-25,-1.7812820512820513,0.9364102564102564,1.4596858638743455,72.34414729271494,-4.498974358974359,6.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0
MI,2006-01-26,-4.373453608247423,-0.05,0.0770833333333333,72.30187123554718,-8.696907216494846,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
MI,2006-01-27,-0.6807291666666667,4.420618556701031,0.1077720207253886,65.76285521515001,-5.790625,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MI,2006-01-28,2.787696335078534,7.75181347150259,1.898989898989899,70.67586920927556,-2.1848167539267016,17.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,0.0,9.0,0.0,2.0,2.0,0.0,2.0
MI,2006-01-29,3.8546875,7.403125,13.97938144329897,88.46455362475189,0.3062499999999999,37.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,9.0,2.0,0.0,11.0,0.0,3.0,2.0,0.0,2.0
MI,2006-01-30,1.72319587628866,4.821649484536082,5.156770833333334,86.09125843145429,-1.3752577319587629,26.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,2.0,0.0,8.0,0.0,12.0,3.0,0.0,1.0
MI,2006-01-31,-1.5192708333333331,1.5409326424870464,0.668041237113402,79.49820609677417,-4.578645833333334,7.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0
MI,2006-02-01,-0.7906735751295336,3.09740932642487,0.8780104712041884,79.65258574798209,-4.678756476683938,12.0,1.0,0.0,2.0,1.0,3.0,6.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,6.0,1.0,0.0,2.0
MI,2006-02-02,1.7817708333333335,4.827083333333333,0.844041450777202,74.49225423598902,-1.2635416666666666,22.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0
MI,2006-02-03,1.4862694300518131,4.715979381443299,2.0635897435897435,87.30065701805407,-1.745077720207254,37.0,7.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,9.0,2.0,0.0,7.0,1.0,5.0,0.0,0.0,2.0
MI,2006-02-04,0.5137566137566137,3.364021164021164,4.15,91.60044633260416,-2.3365079365079366,43.0,9.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,1.0,0.0,7.0,0.0,12.0,2.0,0.0,1.0
MI,2006-02-05,-2.5475935828877003,0.0823529411764705,8.975268817204302,85.50872005340021,-5.177540106951872,25.0,3.0,0.0,0.0,0.0,1.0,13.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,2.0
MI,2006-02-06,-4.693489583333333,-2.261979166666667,1.5356382978723404,72.0477152287958,-7.125,6.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,1.0
MI,2006-02-07,-5.101295336787564,-2.276165803108809,0.2154255319148936,68.3108320463153,-7.926424870466321,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
MI,2006-02-08,-6.984895833333333,-3.189583333333333,0.1793650793650793,69.8058494976386,-10.780208333333334,14.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0
MI,2006-02-09,-7.7860103626943005,-2.81139896373057,0.2752631578947369,71.2700817512982,-12.760621761658031,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
