STATE,DATE,TAVG,TMAX,PRCP,RH,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
MO,2006-01-01,6.715,13.149006622516556,0.1737864077669903,66.26003544813543,0.3153333333333333,7.0,0.0,2.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-02,10.286601307189542,16.44640522875817,1.9931372549019608,77.28873582191507,4.126797385620915,21.0,1.0,17.0,0.0,3.0,0.0,0.0,10.0,1.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-03,6.246835443037975,10.79874213836478,0.4729468599033816,79.24265233271232,1.6860759493670885,24.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-04,6.555937500000001,11.581875,0.1057142857142857,67.34783119433088,1.53,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-05,4.4140625,9.224374999999998,0.0,72.16428811228957,-0.39625,5.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
MO,2006-01-06,1.0971875,4.38875,0.0028708133971291,69.77703576710134,-2.194375,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MO,2006-01-07,2.843464052287582,7.7823529411764705,0.0354066985645932,56.27966615732659,-2.1103896103896105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-08,8.074838709677419,15.558333333333334,0.0014354066985645,41.51660980816483,0.5625806451612904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-09,7.139622641509434,14.174375,1.073076923076923,66.90151206114334,0.1553459119496855,11.0,0.0,5.0,3.0,1.0,0.0,0.0,17.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-10,2.205555555555556,5.288888888888889,9.095238095238097,83.75869885978784,-0.8777777777777777,20.0,4.0,5.0,8.0,1.0,5.0,0.0,5.0,0.0,3.0,1.0,7.0,2.0,3.0,4.0,0.0,0.0
MO,2006-01-11,2.346583850931677,6.557142857142858,5.240579710144927,72.53622147887609,-1.8639751552795032,15.0,0.0,0.0,6.0,0.0,2.0,0.0,4.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
MO,2006-01-12,6.924213836477987,13.81132075471698,0.2434782608695652,59.70195314505255,0.0371069182389936,7.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-13,6.865189873417722,13.553164556962026,2.4388349514563106,68.5809662767029,0.1772151898734177,13.0,2.0,5.0,3.0,1.0,0.0,0.0,4.0,0.0,4.0,1.0,6.0,0.0,5.0,2.0,0.0,0.0
MO,2006-01-14,1.2016339869281043,6.954248366013072,0.445933014354067,61.86660462284199,-4.550000000000001,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-15,4.506209150326797,11.239215686274507,0.0033492822966507,45.33240195624037,-2.251948051948052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-16,8.280718954248366,14.701307189542485,0.3410628019323671,61.16719774955078,1.8623376623376624,4.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0
MO,2006-01-17,3.9367088607594938,10.362893081761008,1.404326923076923,63.65641153310183,-2.456329113924051,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
MO,2006-01-18,0.4075471698113207,6.516352201257861,0.0086124401913875,50.23320698438258,-5.7318750000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MO,2006-01-19,6.6175,14.503125,0.0014354066985645,42.505465076257295,-1.268125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-20,9.3778125,15.529374999999998,0.7679425837320574,70.3142457216369,3.2262500000000003,17.0,1.0,4.0,3.0,1.0,2.0,0.0,13.0,0.0,4.0,0.0,8.0,2.0,3.0,0.0,0.0,0.0
MO,2006-01-21,3.705921052631578,7.979605263157896,2.872058823529412,83.12328500614986,-0.5601307189542484,18.0,1.0,0.0,4.0,1.0,1.0,0.0,5.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-22,1.1099337748344371,4.2993421052631575,0.6164251207729469,84.54219643428782,-2.0098684210526314,22.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
MO,2006-01-23,1.037579617834395,4.343949044585988,2.833816425120773,85.85176681769273,-2.271698113207547,33.0,7.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
MO,2006-01-24,2.7552795031055903,8.314906832298137,0.1253588516746411,53.87825193418538,-2.8043478260869565,10.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-25,4.149074074074074,12.207407407407407,0.0559808612440191,40.436501123309725,-3.909259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-26,3.154658385093168,10.64472049689441,0.0604761904761904,46.51667338240035,-4.3354037267080745,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-27,7.153416149068323,14.244720496894413,0.2677725118483412,39.437314896170506,0.062111801242236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-28,9.650653594771242,14.17843137254902,6.432692307692308,64.48505437762417,5.078709677419355,19.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-29,8.388387096774194,12.352903225806452,13.643627450980391,69.08393484279475,4.423870967741936,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
MO,2006-01-30,5.6381250000000005,11.746583850931676,0.8495145631067961,62.96288243976371,-0.443125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MO,2006-01-31,3.459006211180124,10.82670807453416,0.0043062200956937,58.88448320828726,-3.888271604938272,14.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MO,2006-02-01,7.009627329192546,14.62360248447205,0.0876777251184834,46.99826770174012,-0.6043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-02,8.040000000000001,13.7075,1.872857142857143,64.93661282593821,2.3725,8.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-03,6.133125000000001,12.07639751552795,2.4132701421800946,70.70836206124261,0.180625,14.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-04,0.1396103896103895,6.1571428571428575,0.1208530805687203,60.68673050329859,-5.877922077922078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-05,-2.7164516129032257,2.644516129032258,0.0028301886792452,56.3991838997444,-8.07741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-06,-1.3592592592592594,4.40679012345679,0.0,51.875085308975976,-7.125308641975308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-07,-0.612962962962963,5.953086419753086,0.0296296296296296,52.00285643534547,-7.179012345679013,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0
MO,2006-02-08,0.28375,5.71875,1.4953703703703705,69.12057069087533,-5.15125,16.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,3.0
MO,2006-02-09,-3.317701863354037,3.506832298136646,0.5317757009345794,59.9130020430832,-10.14223602484472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-10,-1.2579617834394905,4.764331210191083,0.0625,55.17757680858616,-7.29367088607595,5.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0
MO,2006-02-11,-0.6192307692307691,4.389808917197453,0.3186915887850467,65.36041685362946,-5.628205128205129,11.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,8.0,2.0,0.0,2.0
MO,2006-02-12,-3.4132258064516128,0.6187096774193548,0.1206730769230769,63.0665766458236,-7.465384615384615,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
MO,2006-02-13,-2.284375,4.715625,0.013953488372093,52.0732377721182,-9.30248447204969,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-14,3.754938271604938,13.195679012345678,0.0027777777777777,33.27427797339018,-5.685802469135803,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-15,8.524382716049383,16.394444444444446,0.0751152073732718,53.98293404646896,0.654320987654321,6.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-16,6.210759493670886,13.053459119496855,0.5902777777777778,76.6454844170781,-0.5773584905660378,14.0,1.0,15.0,3.0,4.0,5.0,0.0,13.0,1.0,2.0,1.0,6.0,2.0,3.0,0.0,0.0,0.0
MO,2006-02-17,-1.1021875,7.405625000000001,2.299530516431925,64.06581323974018,-9.598757763975156,2.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
MO,2006-02-18,-9.468910256410258,-3.9426751592356686,1.5911764705882354,53.71304638406704,-15.051923076923076,4.0,1.0,1.0,3.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0
MO,2006-02-19,-11.547712418300652,-7.823529411764706,0.2158139534883721,51.291305645025446,-15.245512820512822,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
MO,2006-02-20,-7.446129032258065,-3.36,0.4060465116279069,53.224473694796266,-11.533333333333331,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-21,-1.990993788819876,4.130246913580247,0.0811926605504587,59.90359004158023,-8.14472049689441,17.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-22,1.975465838509317,9.6055900621118,0.2674311926605504,57.844067875807546,-5.654658385093168,21.0,3.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MO,2006-02-23,3.8975,12.044375,0.0059360730593607,40.3806115027399,-4.249375,4.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MO,2006-02-24,6.08167701863354,15.242857142857142,0.0031963470319634,38.613845930411685,-3.0795031055900624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-25,6.317948717948718,14.837820512820512,0.0,41.13229353487368,-2.201923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-26,1.0298076923076924,8.523717948717948,0.0036529680365296,33.59077689194608,-6.486624203821656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-27,5.14,13.484375,0.002283105022831,38.02952944502962,-3.204375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-02-28,11.417924528301889,20.58427672955975,0.0,51.03114945142407,2.20625,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-03-01,14.290993788819875,23.057407407407407,0.0113122171945701,58.861182377376224,5.536645962732919,8.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-03-02,13.081875,22.141875,0.0,44.79962906307132,4.021875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-03-03,4.671518987341773,12.722784810126582,0.0022522522522522,53.045981715613365,-3.4037735849056605,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2006-03-04,3.086129032258065,9.099354838709678,1.3,63.52627435008354,-2.954487179487179,6.0,0.0,5.0,4.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
MO,2006-03-05,5.248692810457516,9.5640522875817,3.376605504587156,67.50259229696854,0.9333333333333336,21.0,5.0,18.0,1.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
MO,2006-03-06,6.89240506329114,14.176729559748429,2.221658986175115,63.81378323116254,-0.4392405063291139,30.0,8.0,2.0,0.0,2.0,1.0,0.0,15.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
MO,2006-03-07,6.879503105590062,14.86073619631902,0.4346846846846847,59.21255267602404,-1.1031055900621118,8.0,0.0,13.0,0.0,3.0,0.0,0.0,13.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
MO,2006-03-08,9.669565217391304,16.401242236024846,4.961261261261262,65.05989610865758,2.937888198757764,16.0,0.0,43.0,0.0,5.0,0.0,0.0,11.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
