STATE,DATE,TAVG,TMAX,PRCP,RH,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
PA,2006-01-01,1.2396153846153846,3.4669230769230768,1.8120603015075376,81.70789755537945,-0.9876923076923078,27.0,3.0,1.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0
PA,2006-01-02,1.6484615384615384,4.231538461538462,5.539408866995074,85.36021939917542,-0.9346153846153846,29.0,2.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0
PA,2006-01-03,2.7416666666666667,4.505303030303031,18.73251231527093,90.62890288410566,0.978030303030303,31.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,9.0,1.0,1.0,2.0,0.0,0.0
PA,2006-01-04,2.9435606060606063,4.801515151515151,0.914975845410628,84.3342008678817,1.085606060606061,39.0,6.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0
PA,2006-01-05,3.5325757575757577,6.075,1.1009661835748792,85.48780890166393,0.9901515151515152,36.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,2.0,0.0,9.0,1.0,5.0,2.0,0.0,0.0
PA,2006-01-06,0.6938931297709924,4.0534351145038165,0.6898550724637682,74.20269432512994,-2.653787878787879,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0
PA,2006-01-07,-3.141085271317829,0.4829457364341085,0.2762135922330097,67.73707784403678,-6.765116279069768,11.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,0.0
PA,2006-01-08,-0.2465116279069767,3.3884615384615384,0.3848780487804878,69.3794858791784,-3.8046511627906976,12.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,5.0,1.0,0.0,0.0
PA,2006-01-09,4.535227272727273,9.75,0.0321951219512195,64.7687552998889,-0.6795454545454546,16.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PA,2006-01-10,5.386742424242425,10.84318181818182,0.1073529411764706,67.03896377674131,-0.0696969696969697,9.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
PA,2006-01-11,5.016666666666667,9.38939393939394,2.504854368932039,78.70159720382395,0.6439393939393939,35.0,9.0,8.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
PA,2006-01-12,6.34280303030303,11.800757575757576,4.907692307692307,67.81947878500621,0.8848484848484848,17.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,2006-01-13,6.579924242424243,13.784848484848483,1.15024154589372,68.35277016772464,-0.625,44.0,13.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
