STATE,DATE,TAVG,TMAX,PRCP,RH,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
SD,2006-01-01,-1.1796875,1.4428571428571428,1.3681318681318682,90.54488905811176,-3.815,36.0,2.0,0.0,3.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,1.0
SD,2006-01-02,-1.7156441717791409,1.3699386503067483,2.28021978021978,90.64884995063753,-4.801226993865031,47.0,5.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0
SD,2006-01-03,-0.2598765432098765,2.632716049382716,0.1758064516129032,88.75569659599698,-3.152469135802469,46.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,3.0,2.0,0.0,0.0,2.0
SD,2006-01-04,-0.1150943396226414,3.079874213836478,0.2655913978494623,82.70966473583374,-3.310062893081761,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SD,2006-01-05,-0.7854037267080746,3.0302469135802466,0.0290322580645161,77.57654866644745,-4.60248447204969,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
SD,2006-01-06,-0.3737654320987654,5.749382716049382,0.0,71.79419358714787,-6.496913580246914,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SD,2006-01-07,2.379012345679012,8.174691358024692,0.0122994652406417,73.08613981025043,-3.4166666666666665,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SD,2006-01-08,0.8537267080745341,5.004938271604938,0.306989247311828,85.01338095817191,-3.3217391304347825,21.0,1.0,1.0,3.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,5.0,3.0,0.0,1.0
SD,2006-01-09,-1.590432098765432,2.746913580246914,0.2459459459459459,79.06507446503268,-5.927777777777777,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SD,2006-01-10,0.5886503067484663,5.520858895705521,0.0150537634408602,68.19068437957878,-4.343558282208589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2006-01-11,3.4141975308641976,9.015432098765432,0.0086021505376344,65.07905124540054,-2.187037037037037,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2006-01-12,2.732012195121951,7.617682926829268,0.0575268817204301,70.61688133163337,-2.153658536585366,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
