STATE,DATE,TAVG,TMAX,PRCP,RH,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
WI,2006-01-01,-0.7006024096385542,1.0313253012048191,0.565989847715736,89.94574745886713,-2.432530120481928,22.0,0.0,1.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0
WI,2006-01-02,0.3464497041420118,1.837278106508876,4.270558375634518,92.98796464694568,-1.144378698224852,30.0,0.0,12.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0
WI,2006-01-03,1.1405172413793103,2.25,4.419900497512438,95.54578147924084,0.0148571428571428,66.0,9.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
WI,2006-01-04,1.2738505747126436,2.361494252873563,0.833173076923077,96.4069192856662,0.1862068965517241,57.0,8.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0
WI,2006-01-05,-0.2604046242774567,1.5832369942196531,0.9461165048543688,83.95978475526015,-2.1040462427745665,7.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
WI,2006-01-06,-2.719942196531792,-1.0092485549132948,0.0229268292682926,79.64965246028798,-4.430635838150289,8.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
WI,2006-01-07,-2.2702941176470586,-0.3270588235294118,0.0356435643564356,85.49409620096829,-4.213529411764705,17.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
WI,2006-01-08,-0.7889880952380953,1.3410714285714287,0.0798029556650246,82.00850277609231,-2.919047619047619,16.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
WI,2006-01-09,-1.4364942528735631,1.297126436781609,0.2558823529411765,79.44563965965177,-4.170114942528736,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
WI,2006-01-10,-5.112784090909091,0.2522727272727273,0.0531400966183574,79.60564590034116,-10.477840909090908,12.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WI,2006-01-11,-2.964857142857143,2.177142857142857,0.3528846153846153,85.61821053596012,-8.106857142857143,30.0,4.0,0.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
WI,2006-01-12,0.79,5.424,0.0276190476190476,84.98215352549637,-3.844,32.0,4.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WI,2006-01-13,1.4134285714285717,5.792571428571428,0.13,84.78036052412509,-2.9657142857142857,18.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0
WI,2006-01-14,-2.527514792899408,1.1188235294117646,0.1735294117647058,68.3316690669161,-6.167455621301775,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WI,2006-01-15,-1.5485119047619047,1.4267857142857143,0.0588235294117647,72.80662879072227,-4.523809523809524,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
WI,2006-01-16,0.2063953488372093,2.847126436781609,0.21875,82.6767634231124,-2.46453488372093,12.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
WI,2006-01-17,-1.5130057803468209,1.730459770114943,1.7228571428571429,87.64745284128865,-4.789017341040463,23.0,0.0,0.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0
