STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
IL,2007-01-01,5.495,1.660586319218241,77.40678672959325,-0.158125,11.148125,9.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
IL,2007-01-02,0.665527950310559,0.0748387096774193,81.49873459501039,-4.390683229813664,5.721739130434783,9.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IL,2007-01-03,2.2767080745341617,0.0389776357827476,78.2184754386011,-3.134782608695652,7.688198757763975,10.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2007-01-04,5.010869565217392,2.714331210191083,81.33826556361171,0.6478260869565218,9.37391304347826,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
IL,2007-01-05,8.002515723270442,12.32643312101911,92.18583732365148,5.40125786163522,10.60377358490566,53.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
IL,2007-01-06,6.0675,1.1501597444089458,84.37362186757743,2.275,9.86,26.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
IL,2007-01-07,3.2946540880503146,1.2864779874213836,89.04944757950744,-0.5842767295597484,7.173584905660377,32.0,2.0,1.0,2.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0
IL,2007-01-08,1.82125,1.649044585987261,70.17273621590778,-2.584375,6.226875,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
IL,2007-01-09,1.1559748427672956,0.0791139240506329,65.45954774189967,-2.7830188679245285,5.09496855345912,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IL,2007-01-10,-1.834472049689441,0.0326984126984127,68.25899665483361,-7.207453416149069,3.5385093167701864,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
