STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
IN,2007-01-01,6.548979591836734,8.883844011142061,79.70107361639751,0.8275510204081632,12.270408163265309,16.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0
IN,2007-01-02,1.2055,0.3673024523160763,79.56256817071589,-3.102,5.513,18.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2007-01-03,2.770918367346939,0.012398921832884,77.06051152246387,-2.4867346938775508,8.028571428571428,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2007-01-04,5.7045,1.1486842105263158,75.94885954083021,1.134,10.275,14.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2007-01-05,9.75049504950495,15.25012987012987,93.437342094277,6.568316831683168,12.932673267326733,25.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2007-01-06,8.118229166666667,9.409893048128342,84.81851989729817,4.575,11.661458333333334,16.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2007-01-07,2.9557291666666665,1.1250696378830085,91.08805085509788,-1.0989583333333333,7.010416666666667,20.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
IN,2007-01-08,1.618,5.444708994708995,71.45187075243805,-1.391,4.627,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
IN,2007-01-09,1.1924242424242424,0.361439588688946,64.93880290159157,-1.8333333333333333,4.218181818181819,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
IN,2007-01-10,-1.9191919191919191,0.0578534031413612,63.23615415938742,-6.325252525252526,2.4868686868686867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IN,2007-01-11,0.4465346534653465,0.0801566579634464,50.70477939335568,-4.244554455445544,5.137623762376237,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2007-01-12,6.8635,1.5930232558139534,77.50311289002784,2.768,10.959,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2007-01-13,7.531313131313132,23.743569553805774,91.86284727579972,3.764646464646464,11.297979797979798,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2007-01-14,4.430102040816326,10.81263440860215,92.45844367333802,2.6163265306122447,6.243877551020408,19.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0
IN,2007-01-15,4.534848484848485,28.39414893617021,91.3190204438514,1.079,8.013131313131314,18.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0
IN,2007-01-16,-1.451530612244898,3.877419354838709,77.14005155196215,-5.867676767676768,3.0020408163265304,8.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IN,2007-01-17,-5.8815,0.2861788617886178,75.50577519346758,-9.965,-1.798,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IN,2007-01-18,-3.6205,0.11775956284153,73.66917411976097,-8.099,0.858,4.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
IN,2007-01-19,-1.0955,0.1975342465753425,69.7086029505278,-4.317,2.126,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IN,2007-01-20,-3.3762626262626263,0.1877840909090909,68.69145035222704,-7.842424242424242,1.08989898989899,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
IN,2007-01-21,-2.653061224489796,5.786350974930363,81.53054989693756,-5.907142857142857,0.6010204081632653,18.0,3.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0
IN,2007-01-22,-1.114141414141414,2.231830985915493,88.40471102199352,-3.191919191919192,0.9636363636363636,15.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0
IN,2007-01-23,-1.358,0.0947513812154696,76.27822035609888,-3.262376237623762,0.54,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IN,2007-01-24,-1.6255000000000002,0.5592896174863388,78.54047792413814,-4.198,0.947,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IN,2007-01-25,-3.5835000000000004,0.1780555555555555,70.61820205260085,-6.385,-0.782,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
IN,2007-01-26,-3.9935,0.0339031339031338,70.66661731791766,-9.099,1.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IN,2007-01-27,0.256060606060606,0.0690962099125364,74.25435200814846,-5.5,6.012121212121213,9.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
IN,2007-01-28,-5.156632653061225,0.2606508875739645,72.27072820532514,-11.2734693877551,0.960204081632653,8.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
