STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
MI,2007-01-01,3.7132124352331606,11.7,85.14197365184555,0.1870466321243523,7.23937823834197,27.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,1.0,0.0,12.0,0.0,3.0,2.0,0.0,0.0
MI,2007-01-02,0.5160714285714285,0.0940298507462686,74.76422974095495,-4.086224489795918,5.118367346938776,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,2007-01-03,2.255050505050505,0.2411764705882353,70.82893576567487,-2.1434343434343432,6.653535353535354,14.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MI,2007-01-04,4.7471938775510205,3.174384236453202,74.13265260862295,1.1862244897959184,8.311167512690355,25.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
MI,2007-01-05,6.02910447761194,7.611822660098523,88.1790061598982,3.277611940298508,8.780597014925373,31.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,1.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0
MI,2007-01-06,4.501010101010102,2.83186274509804,83.84981363740611,1.493939393939394,7.508080808080807,27.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,10.0,1.0,0.0,11.0,2.0,4.0,3.0,0.0,0.0
MI,2007-01-07,0.5583333333333333,0.8773399014778325,80.29512510612615,-2.975757575757576,4.092424242424242,35.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,9.0,3.0,0.0,1.0
MI,2007-01-08,-0.0919597989949748,2.9875,81.87928094720216,-2.8000000000000003,2.637313432835821,25.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,11.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,5.0
MI,2007-01-09,-3.1663316582914574,0.734313725490196,72.0803265312119,-6.031658291457286,-0.2621890547263681,11.0,3.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,12.0,3.0,0.0,4.0
MI,2007-01-10,-5.294776119402985,0.6554455445544555,68.38623042780452,-8.73134328358209,-1.849009900990099,7.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0
MI,2007-01-11,-1.9826633165829144,0.1665024630541871,62.10370528790393,-6.278391959798995,2.3125,10.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,4.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0
MI,2007-01-12,1.5955,1.490686274509804,84.0737027187052,-2.165,5.3651741293532345,39.0,2.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,11.0,4.0,0.0,9.0,1.0,4.0,2.0,0.0,0.0
MI,2007-01-13,-2.270558375634518,2.0683417085427136,82.48076978191746,-6.747208121827412,2.206091370558376,24.0,0.0,0.0,10.0,0.0,13.0,5.0,0.0,0.0,0.0,5.0,2.0,0.0,6.0,3.0,9.0,3.0,0.0,0.0
MI,2007-01-14,-4.407435897435898,2.4228426395939087,81.46652634988021,-6.401020408163265,-2.4000000000000004,24.0,0.0,0.0,12.0,1.0,18.0,4.0,0.0,0.0,0.0,7.0,2.0,0.0,6.0,4.0,8.0,3.0,0.0,0.0
