STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
MN,2007-01-01,-4.438622754491018,6.309659090909091,81.91354108302978,-9.002994011976048,0.1257485029940119,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MN,2007-01-02,-4.73698224852071,0.0994475138121546,82.1636616903743,-9.543786982248522,0.0698224852071005,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2007-01-03,-1.4231213872832371,0.147027027027027,81.99196648845273,-5.377456647398843,2.5312138728323696,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2007-01-04,1.2520348837209303,0.18,87.67508631465564,-1.4546511627906975,3.986781609195402,18.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,7.0,1.0,5.0,0.0,0.0,3.0,0.0,1.0
MN,2007-01-05,0.8418128654970759,0.3693548387096774,88.44495869109166,-1.3502923976608188,3.0339181286549706,14.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0
MN,2007-01-06,-1.5157575757575756,0.0143646408839779,82.5360222512775,-4.143030303030304,1.1115151515151516,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
MN,2007-01-07,-2.657692307692308,0.1027777777777777,80.7464675651659,-5.966863905325444,0.6514792899408284,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0
MN,2007-01-08,-6.188793103448275,0.1437158469945355,80.03507786072336,-11.065517241379313,-1.3120689655172415,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MN,2007-01-09,-8.238000000000001,0.0546448087431694,74.3351678739192,-12.785714285714286,-3.690285714285714,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0
MN,2007-01-10,-8.683142857142856,0.0223404255319148,76.10286653397324,-14.156571428571429,-3.209714285714286,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
MN,2007-01-11,-6.191666666666666,0.0550802139037433,77.76352598788387,-12.179310344827584,-0.2040229885057471,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
MN,2007-01-12,-14.49479768786127,0.2143617021276595,71.53345120376027,-21.078735632183907,-7.923699421965318,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MN,2007-01-13,-18.20710059171597,0.0,70.87105126068438,-22.992899408284025,-13.421301775147928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
