STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
ND,2007-01-01,-10.350423728813558,0.17,79.34042071709925,-16.272033898305082,-4.428813559322034,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2007-01-02,-6.741739130434782,0.0037878787878787,79.23975407262925,-13.110344827586207,-0.4043478260869566,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2007-01-03,0.0125,0.0593984962406015,76.61729792624803,-4.839166666666667,4.8603305785123965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2007-01-04,0.8520833333333333,0.2557251908396946,85.96027666924829,-3.000833333333333,4.757851239669422,16.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
ND,2007-01-05,-3.335245901639344,0.0183206106870229,85.04590539912091,-8.040163934426229,1.3696721311475408,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2007-01-06,-6.164102564102564,0.0761538461538461,81.78514704296259,-12.427350427350428,0.1220338983050847,9.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0
ND,2007-01-07,-5.254700854700855,0.0751937984496124,75.90730740359646,-10.387179487179488,-0.1025423728813559,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0
ND,2007-01-08,-5.826666666666667,0.3684615384615384,83.53494033671379,-10.4825,-1.1520661157024794,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0
ND,2007-01-09,-8.573749999999999,0.3633587786259542,76.98133141729173,-14.663333333333334,-2.4363636363636365,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
ND,2007-01-10,-6.839075630252101,0.006060606060606,76.61650996288175,-12.939495798319328,-0.7975,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ND,2007-01-11,-12.726859504132232,0.0174242424242424,74.14203706760041,-21.172727272727272,-4.254918032786885,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0
ND,2007-01-12,-22.777685950413225,0.056060606060606,71.1926691182582,-28.02868852459016,-17.58925619834711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2007-01-13,-20.96379310344828,0.0037593984962406,71.33696131194566,-27.073275862068964,-14.883760683760684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2007-01-14,-19.47,0.0052631578947368,74.09437947718112,-24.83620689655172,-14.163247863247864,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ND,2007-01-15,-22.18760683760684,0.006766917293233,75.82132000341984,-27.925641025641028,-16.442372881355933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2007-01-16,-17.292241379310347,0.0,75.04992180639331,-25.24017094017094,-9.405128205128204,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2007-01-17,-9.855508474576272,0.0,76.81926146344377,-16.535593220338985,-3.175423728813559,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2007-01-18,-8.378813559322035,0.0124031007751937,78.8194525842668,-13.35084745762712,-3.406779661016949,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ND,2007-01-19,-10.91,0.0037878787878787,78.77495771929338,-17.30695652173913,-4.549152542372881,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ND,2007-01-20,-8.128017241379311,0.0,77.23297981149659,-14.086206896551724,-2.0803418803418805,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ND,2007-01-21,-8.327586206896552,0.0208955223880597,86.16574745420994,-13.721551724137932,-2.955084745762712,19.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ND,2007-01-22,-8.139495798319327,0.0885496183206106,81.07473315254639,-13.815126050420169,-2.5083333333333333,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ND,2007-01-23,-4.198319327731093,0.62890625,81.5874604692784,-9.10252100840336,0.7058823529411765,10.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0
ND,2007-01-24,-4.112288135593221,0.1953846153846154,83.65000835341804,-9.463559322033898,1.2756302521008405,13.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
ND,2007-01-25,-2.9050420168067226,0.0121212121212121,83.76873145134654,-8.52436974789916,2.6966666666666668,21.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
ND,2007-01-26,-2.717372881355932,0.0,74.40975574951553,-8.54406779661017,3.088235294117647,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0
ND,2007-01-27,-12.534782608695652,0.0507936507936507,74.06173650497934,-19.16434782608696,-5.905217391304348,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0
ND,2007-01-28,-16.078318584070797,0.1126984126984126,75.47676702962427,-23.91403508771929,-8.315929203539824,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0
ND,2007-01-29,-13.66890756302521,0.7606299212598425,78.08736995153507,-20.46134453781513,-6.876470588235294,5.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,2.0
ND,2007-01-30,-17.45252100840336,0.0597014925373134,75.81045798099254,-24.071428571428573,-10.833613445378152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ND,2007-01-31,-14.48119658119658,0.1450381679389313,78.60100328215574,-20.280341880341883,-8.682051282051281,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0
ND,2007-02-01,-15.102970297029705,1.005607476635514,78.35756828070963,-19.844554455445543,-10.36138613861386,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0
ND,2007-02-02,-19.416326530612245,0.0724770642201834,71.30511134102368,-23.757142857142856,-15.075510204081631,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0
ND,2007-02-03,-23.807291666666668,0.0333333333333333,71.83320349412364,-29.825,-17.932989690721648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2007-02-04,-22.062755102040818,0.0,72.54923229038312,-27.986734693877548,-16.13877551020408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ND,2007-02-05,-19.425742574257427,0.2314814814814814,77.06293162525024,-24.623762376237625,-14.227722772277229,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
ND,2007-02-06,-17.108333333333334,1.2935185185185183,79.29053641506431,-21.7078431372549,-12.508823529411766,7.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0
ND,2007-02-07,-19.63838383838384,0.0723214285714285,77.7075510417005,-24.681,-14.616161616161616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2007-02-08,-21.041666666666668,0.0321428571428571,75.15047798440469,-26.50588235294117,-15.577450980392156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2007-02-09,-19.74705882352941,0.0681415929203539,72.06722408202378,-24.21078431372549,-15.283333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2007-02-10,-17.69157894736842,0.0888888888888888,74.80184562471989,-23.12,-12.18265306122449,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ND,2007-02-11,-14.024489795918369,0.210091743119266,78.877438154507,-18.947959183673472,-9.101020408163263,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
ND,2007-02-12,-16.353465346534655,1.7018181818181817,76.3142541366119,-20.923762376237622,-11.783168316831684,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ND,2007-02-13,-22.68970588235294,0.9623853211009172,75.75105782865188,-27.73333333333333,-17.64607843137255,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
ND,2007-02-14,-23.740594059405943,0.079646017699115,78.12116056611343,-29.183168316831683,-18.2980198019802,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2007-02-15,-21.197029702970298,0.1154545454545454,76.79208219518777,-29.98118811881188,-12.412871287128713,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2007-02-16,-10.6485,1.5732142857142857,80.9460543721403,-18.369,-2.928,7.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,7.0,3.0,0.0,2.0
ND,2007-02-17,-6.605050505050505,0.3663636363636363,82.80609043688064,-11.192929292929293,-2.017171717171717,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0
ND,2007-02-18,-4.839690721649484,0.019090909090909,82.54814543455294,-10.420618556701031,0.7336734693877551,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
