STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
OH,2007-01-01,7.756756756756757,9.08,79.8115994154051,2.874774774774775,12.63873873873874,24.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,4.0,0.0,10.0,0.0,6.0,1.0,0.0,0.0
OH,2007-01-02,3.022072072072072,0.7079136690647483,74.36433641147315,-1.4432432432432432,7.487387387387388,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0
OH,2007-01-03,3.159821428571429,0.076978417266187,72.51068300253824,-2.3312500000000003,8.650892857142857,8.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2007-01-04,5.625225225225225,1.3378571428571426,71.63519725975672,0.0207207207207207,11.22972972972973,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
OH,2007-01-05,10.148181818181818,14.09927536231884,88.62768261358224,5.950909090909091,14.345454545454546,29.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
OH,2007-01-06,9.90277777777778,11.002919708029198,83.41075036108661,5.606481481481482,14.199074074074074,29.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
OH,2007-01-07,3.2122727272727274,2.285507246376812,88.12715732309998,-1.72,8.144545454545455,34.0,13.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,7.0,3.0,0.0,10.0,0.0,1.0,0.0,1.0,4.0
OH,2007-01-08,2.263963963963964,6.768148148148148,75.13199139365008,-0.7135135135135136,5.241441441441441,26.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,2.0,0.0,10.0,0.0,8.0,2.0,0.0,1.0
OH,2007-01-09,0.7339285714285714,0.602919708029197,68.89540703763782,-1.8035714285714288,3.271428571428572,18.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0
OH,2007-01-10,-1.7776785714285714,0.3147058823529411,64.68227575182877,-5.024107142857143,1.470796460176991,8.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
OH,2007-01-11,-0.3013392857142856,0.1877697841726618,53.52834935687199,-4.867857142857143,4.265178571428572,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
OH,2007-01-12,5.275446428571429,3.681560283687944,70.48050761402959,0.6142857142857142,9.936607142857143,26.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
OH,2007-01-13,7.649545454545453,17.408695652173915,93.03801326350244,3.7372727272727273,11.553153153153152,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0
OH,2007-01-14,5.311261261261261,11.579856115107914,94.2331410483528,3.323423423423423,7.2990990990991,31.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,4.0,0.0,10.0,1.0,0.0,2.0,0.0,0.0
OH,2007-01-15,7.086036036036036,21.01726618705036,93.0380926152093,2.70990990990991,11.462162162162162,29.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,10.0,2.0,0.0,10.0,0.0,5.0,2.0,0.0,0.0
OH,2007-01-16,1.4150442477876106,4.751824817518248,77.49466473040076,-4.107964601769911,6.938053097345133,15.0,4.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0
OH,2007-01-17,-4.983035714285714,0.2985714285714285,67.40819229112344,-9.327678571428573,-0.6380530973451327,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
OH,2007-01-18,-3.1070796460176995,0.0481751824817518,68.03723967338946,-7.227433628318584,1.0132743362831858,16.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0,9.0,1.0,0.0,0.0
OH,2007-01-19,-0.6884955752212389,0.4108695652173912,73.50720292496112,-3.786725663716814,2.409734513274336,17.0,4.0,0.0,0.0,0.0,4.0,16.0,2.0,0.0,5.0,0.0,0.0,3.0,1.0,10.0,2.0,0.0,3.0
OH,2007-01-20,-3.5270642201834863,0.4007407407407407,64.87688360231229,-6.860550458715596,-0.2072727272727272,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
