STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
PA,2007-01-01,5.208076923076923,15.97469879518072,83.15909256894152,1.0723076923076924,9.33206106870229,47.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,9.0,0.0,3.0,1.0,0.0,0.0
PA,2007-01-02,4.220833333333333,1.5587301587301587,65.21050141995464,-0.2666666666666666,8.708333333333334,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0
PA,2007-01-03,2.407142857142857,0.0019685039370078,63.50462751526418,-3.697744360902256,8.512030075187969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,2007-01-04,4.924045801526717,0.20546875,62.76114604529985,-2.3244274809160306,12.172519083969464,12.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
PA,2007-01-05,8.64847328244275,4.781467181467182,81.37868417239689,2.977099236641221,14.319847328244276,42.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
PA,2007-01-06,12.401526717557251,10.638372093023255,80.22802515561489,8.60152671755725,16.201526717557254,36.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
PA,2007-01-07,6.703435114503817,2.932806324110672,67.08636811006077,0.1435114503816794,13.263358778625957,32.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0
PA,2007-01-08,4.297014925373134,16.988715953307395,75.267988753042,-0.1746268656716418,8.76865671641791,31.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,1.0
PA,2007-01-09,1.3529850746268657,1.7976744186046512,61.025384510466125,-2.7940298507462686,5.5,10.0,7.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0
PA,2007-01-10,-2.139925373134328,0.668359375,60.52429124047282,-5.861194029850746,1.5813432835820895,9.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,3.0
