STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
SD,2007-01-01,-6.527914110429448,0.0251366120218579,72.05637879127231,-12.36196319018405,-0.6938650306748467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2007-01-02,-4.14478527607362,0.054054054054054,72.97219562687509,-10.712883435582825,2.423312883435583,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SD,2007-01-03,0.8185975609756098,0.1580645161290322,73.12175395922259,-4.373780487804877,6.010975609756097,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2007-01-04,1.603658536585366,0.3570652173913043,79.62848972776361,-3.0378048780487803,6.245121951219512,11.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0
SD,2007-01-05,-0.8717791411042944,0.4857923497267759,79.46225770748254,-5.348466257668711,3.609756097560976,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SD,2007-01-06,-3.829192546583851,0.0581521739130434,73.50871198932072,-9.25493827160494,1.6093167701863356,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SD,2007-01-07,-2.728395061728395,0.1327868852459016,68.08288279960115,-7.101851851851852,1.6450617283950617,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
SD,2007-01-08,-1.5634146341463413,0.5016483516483516,70.24725399082267,-6.1658536585365855,3.0390243902439025,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
SD,2007-01-09,-2.3875,0.1885869565217391,64.56381544355658,-8.721341463414634,3.9463414634146345,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
SD,2007-01-10,-0.8167682926829267,0.0,67.18381297716486,-7.2024390243902445,5.56890243902439,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SD,2007-01-11,-5.4524539877300615,0.2372972972972973,70.58396453838242,-14.539634146341465,3.5963414634146345,2.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
SD,2007-01-12,-17.42621951219512,0.2684782608695652,71.96856355229572,-21.764024390243904,-13.08841463414634,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
SD,2007-01-13,-17.35061728395062,0.2349726775956284,73.16655369708052,-21.271604938271604,-13.429629629629629,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SD,2007-01-14,-15.3375,0.1472826086956521,75.20175781927897,-19.836875,-10.829192546583853,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
SD,2007-01-15,-17.01951219512195,0.5956521739130435,74.4325777685596,-23.395731707317072,-10.643292682926829,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SD,2007-01-16,-13.6340490797546,0.0416216216216216,70.4222543241625,-21.34355828220859,-5.871341463414634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SD,2007-01-17,-7.6878787878787875,0.0149732620320855,67.69231327899959,-15.07030303030303,-0.3054545454545454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2007-01-18,-5.765151515151516,0.1627027027027026,73.97577567711645,-11.072727272727272,-0.4575757575757576,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
SD,2007-01-19,-6.0408536585365855,0.0370967741935483,68.22493193854866,-12.178048780487805,0.109090909090909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SD,2007-01-20,-4.103703703703704,0.0264864864864864,68.87855749221382,-10.825925925925926,2.6439024390243904,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2007-01-21,-4.4018292682926825,0.9862637362637364,80.37667140562672,-9.654268292682929,0.850609756097561,14.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0
SD,2007-01-22,-6.496932515337424,0.2662983425414365,75.9671813839247,-13.499386503067486,0.505521472392638,13.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
