STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
WI,2007-01-01,1.60625,9.598536585365856,82.34699871485927,-2.0112994350282487,5.225568181818182,22.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,6.0,2.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0
WI,2007-01-02,-1.1844632768361585,0.0317535545023696,76.39792637518387,-6.050847457627119,3.692696629213483,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,2007-01-03,0.6011173184357541,0.0,71.84524171363829,-3.912849162011173,5.115083798882682,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,2007-01-04,3.6725,0.0286384976525821,75.85969316995336,-0.0172222222222222,7.362222222222223,11.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WI,2007-01-05,4.176685393258428,0.2084905660377358,85.65551785085246,1.4949438202247192,6.875977653631285,21.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
WI,2007-01-06,1.9646551724137933,0.0352657004830917,79.66286831155024,-1.0632183908045978,4.967428571428571,8.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
WI,2007-01-07,-0.4632768361581921,0.1717703349282296,83.33414571521307,-3.780225988700565,2.8536723163841806,16.0,0.0,0.0,3.0,2.0,1.0,10.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0
WI,2007-01-08,-1.8453038674033149,0.5222748815165877,74.35175196230827,-6.85303867403315,3.16243093922652,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
WI,2007-01-09,-4.525,0.0163551401869158,68.62661865898822,-8.749171270718232,-0.3111111111111111,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
WI,2007-01-10,-7.555801104972375,0.0140845070422535,70.32115442915735,-12.186187845303866,-2.925414364640884,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
