STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
IL,2008-01-01,-4.36656050955414,3.8138297872340425,75.97580826000483,-9.480891719745223,0.7477707006369427,14.0,0.0,0.0,2.0,0.0,1.0,0.0,14.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0
IL,2008-01-02,-11.50828025477707,0.5109207708779443,69.77630380155199,-16.338216560509554,-6.678343949044586,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IL,2008-01-03,-11.676282051282053,0.0121535181236673,72.87801346765904,-17.09808917197452,-6.266025641025641,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2008-01-04,-5.828025477707007,0.0487394957983193,62.79717025658416,-11.807006369426752,0.1509554140127388,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IL,2008-01-05,2.1194267515923566,0.7985294117647058,73.63292348320716,-1.8923566878980893,6.131210191082802,35.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
IL,2008-01-06,9.322929936305734,0.301863354037267,87.04713643501489,4.97515923566879,13.670700636942676,50.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IL,2008-01-07,14.051923076923076,1.6731958762886598,82.08892819448393,10.092948717948715,18.011392405063294,31.0,3.0,54.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
IL,2008-01-08,12.741346153846154,31.553612167300383,86.9903141838802,8.33974358974359,17.147133757961782,36.0,1.0,57.0,0.0,2.0,1.0,0.0,5.0,0.0,1.0,3.0,2.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0
IL,2008-01-09,4.770886075949368,6.5323586744639375,81.35153665877975,-1.5341772151898734,11.075949367088608,15.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2008-01-10,2.751290322580645,0.6260521042084168,84.88449913156131,-0.9064516129032258,6.409032258064516,26.0,0.0,3.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0
IL,2008-01-11,2.771474358974359,4.371739130434783,82.51207174017165,-0.5,6.042948717948718,25.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0
IL,2008-01-12,0.8111464968152867,0.0563409563409563,78.46610162700884,-3.343949044585987,4.966242038216561,19.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IL,2008-01-13,1.5262820512820512,0.1049079754601226,79.37313042275626,-2.956687898089172,5.9750000000000005,16.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0
IL,2008-01-14,-3.40063694267516,0.0404,73.18033662409239,-6.3101910828025485,-0.4910828025477707,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
IL,2008-01-15,-6.477707006369426,0.075249500998004,71.0122252472165,-11.368789808917198,-1.586624203821656,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IL,2008-01-16,-3.9053797468354414,0.0052419354838709,70.04915595951827,-9.05506329113924,1.2443037974683544,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2008-01-17,-0.8775316455696203,0.358316633266533,80.46062006238638,-5.560759493670886,3.805696202531645,22.0,1.0,0.0,6.0,0.0,5.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,6.0,3.0,0.0,1.0
IL,2008-01-18,-5.4436708860759495,0.8751540041067761,69.2619842591408,-11.675316455696205,0.7879746835443038,4.0,0.0,0.0,3.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
