STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
MN,2008-01-01,-14.959302325581396,0.0613636363636363,76.63688057999266,-19.58604651162791,-10.332558139534884,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0
MN,2008-01-02,-17.949157303370786,0.0183333333333333,75.40211732255847,-23.6561797752809,-12.242134831460673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MN,2008-01-03,-12.61875,0.0,69.285028496853,-18.670454545454547,-6.5864406779661016,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MN,2008-01-04,-7.8228813559322035,0.0016304347826086,80.53248728839374,-12.609604519774011,-3.050561797752809,9.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2008-01-05,-4.836206896551724,0.0081081081081081,84.87140543290897,-9.720689655172414,0.0159090909090909,30.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
MN,2008-01-06,-0.6196022727272728,0.0448648648648648,85.86632110050435,-5.095480225988701,3.8604519774011297,35.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
MN,2008-01-07,-0.5066298342541437,0.1378378378378378,87.31947318408405,-5.249723756906078,4.23646408839779,26.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0
MN,2008-01-08,-2.317877094972067,0.2481081081081081,88.03124375770032,-6.345810055865923,1.716111111111111,38.0,7.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,6.0
MN,2008-01-09,-6.253089887640449,0.0472826086956521,84.66974112851919,-10.837640449438204,-1.6685393258426966,24.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
MN,2008-01-10,-5.301675977653631,0.2675824175824176,84.23597887898536,-8.911666666666665,-1.6731843575418994,21.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0
MN,2008-01-11,-5.362569832402235,0.4977900552486187,88.70066545048759,-8.16,-2.575418994413408,16.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0
MN,2008-01-12,-7.190462427745665,0.6159090909090909,86.61834450437554,-9.701734104046244,-4.7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
MN,2008-01-13,-9.160571428571428,0.5659217877094972,84.95131588994431,-13.20342857142857,-5.135795454545455,12.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0
MN,2008-01-14,-14.87709497206704,0.1593406593406593,77.22640072958306,-21.166480446927377,-8.577222222222222,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0
MN,2008-01-15,-16.647222222222222,0.0016216216216216,75.56618801491229,-23.42666666666667,-9.867777777777778,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
MN,2008-01-16,-12.250282485875708,0.0196721311475409,77.51840016084311,-18.62191011235955,-5.9050847457627125,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
MN,2008-01-17,-15.308379888268156,0.4978021978021977,72.68258232749825,-22.172067039106143,-8.444692737430167,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
MN,2008-01-18,-18.66384180790961,0.3721311475409836,68.69989123660157,-23.997175141242938,-13.330508474576272,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0
MN,2008-01-19,-23.576011560693644,0.0072625698324022,65.96962644332635,-28.88150289017341,-18.270520231213872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2008-01-20,-23.912285714285712,0.0016483516483516,64.44325945460822,-29.334857142857143,-18.489714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2008-01-21,-21.089655172413792,0.3049723756906077,70.02768118419053,-26.294857142857143,-15.857386363636364,2.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
MN,2008-01-22,-18.87372881355932,1.3398907103825135,73.2569773305223,-23.99438202247191,-13.725280898876404,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0
