STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
SD,2008-01-01,-11.58525641025641,0.0716723549488054,73.79350715637375,-16.71346153846154,-6.457051282051282,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
SD,2008-01-02,-11.812420382165604,0.0351973684210526,73.90942561644025,-18.820382165605096,-4.794936708860759,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2008-01-03,-5.375796178343949,0.0025974025974025,66.57251048624998,-12.393630573248409,1.6278481012658228,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SD,2008-01-04,-1.705769230769231,0.0019480519480519,73.55285494437948,-8.764102564102565,5.352564102564102,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2008-01-05,1.1182692307692308,0.0053511705685618,74.03944261559886,-5.308333333333334,7.544871794871795,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2008-01-06,1.544551282051282,0.0026490066225165,68.69642278408612,-4.178205128205128,7.267307692307693,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2008-01-07,-0.5072784810126583,0.0216129032258064,75.77134155313168,-5.727848101265823,4.713291139240507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SD,2008-01-08,-3.5783870967741933,0.0345394736842105,71.86189956460683,-10.307741935483872,3.1237179487179487,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SD,2008-01-09,-4.074050632911392,0.0,74.65079541996815,-10.644303797468352,2.4962025316455696,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
SD,2008-01-10,-4.107911392405063,0.0103333333333333,79.46212751806307,-9.756962025316454,1.5452830188679243,9.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
SD,2008-01-11,-3.7832278481012658,0.059075907590759,75.02545938691398,-8.88987341772152,1.3234177215189873,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
SD,2008-01-12,-4.7375796178343945,0.0664429530201342,81.31058391905457,-9.852866242038218,0.3777070063694268,11.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0
SD,2008-01-13,-5.78259493670886,0.0224489795918367,80.69165782778718,-11.329113924050631,-0.2360759493670886,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
SD,2008-01-14,-7.22258064516129,0.0016722408026755,78.52747165847278,-13.852258064516128,-0.5852564102564103,21.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SD,2008-01-15,-6.45759493670886,0.1257627118644068,77.8933211285474,-12.603164556962025,-0.3120253164556961,19.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0
