STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
IN,2009-01-01,-5.334848484848485,0.0366310160427807,69.6949643139878,-9.657575757575758,-1.0121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2009-01-02,-1.8765,0.0,64.96463746978381,-6.462000000000001,2.6762376237623764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2009-01-03,-0.2163265306122448,0.1797872340425531,71.90123796707526,-5.488775510204081,5.005050505050505,7.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
IN,2009-01-04,2.641919191919192,1.7790281329923274,86.53833898838899,-3.1313131313131315,8.415151515151516,35.0,11.0,5.0,0.0,3.0,4.0,2.0,8.0,2.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
IN,2009-01-05,-1.1005,0.1061538461538461,68.7138946600478,-7.162000000000001,4.911881188118812,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IN,2009-01-06,-3.355940594059406,1.1276119402985074,82.17808050802806,-6.479207920792079,-0.2519607843137255,19.0,2.0,0.0,8.0,2.0,13.0,0.0,4.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0
IN,2009-01-07,-2.039108910891089,2.285786802030457,89.19154052997209,-4.047524752475248,-0.0470588235294117,22.0,1.0,0.0,3.0,0.0,12.0,2.0,11.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0
IN,2009-01-08,-5.742999999999999,0.7531249999999999,78.879738931218,-9.698,-1.792079207920792,10.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
IN,2009-01-09,-6.035858585858586,0.3818181818181818,79.35926388415184,-10.296,-1.766,12.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0
IN,2009-01-10,-1.6836633663366338,5.660858585858586,84.04599619572521,-5.672277227722772,2.266019417475728,17.0,2.0,0.0,2.0,2.0,8.0,1.0,6.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,1.0
IN,2009-01-11,-2.897524752475247,1.5443271767810025,82.28331360981217,-5.655445544554456,-0.1705882352941176,8.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
IN,2009-01-12,-2.969117647058824,0.3898701298701298,81.40866517053345,-5.616666666666666,-0.3504854368932038,8.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0
IN,2009-01-13,-3.2019801980198017,1.374937343358396,78.66732776585461,-8.609803921568627,2.2362745098039216,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,2.0,3.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0
IN,2009-01-14,-8.87178217821782,1.3965968586387434,78.27416816526032,-15.505882352941176,-2.2058823529411766,11.0,4.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
IN,2009-01-15,-13.846153846153848,2.003626943005181,71.90418879909744,-21.11730769230769,-6.574999999999999,4.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0
IN,2009-01-16,-19.49854368932039,0.04,63.83426520821879,-24.91057692307692,-14.10873786407767,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
IN,2009-01-17,-13.79059405940594,0.0600543478260869,60.3938003804439,-21.78316831683168,-5.670588235294117,8.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0
IN,2009-01-18,-5.264356435643565,0.4876033057851239,75.51656576169741,-10.2990099009901,-0.2297029702970296,13.0,0.0,0.0,2.0,0.0,2.0,2.0,11.0,1.0,0.0,4.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
IN,2009-01-19,-8.75,0.6911528150134049,79.68184319204038,-13.385576923076922,-4.114423076923076,12.0,4.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0
IN,2009-01-20,-9.348543689320389,0.3424083769633508,76.02959348092547,-14.15728155339806,-4.539805825242719,14.0,3.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0
IN,2009-01-21,-8.959803921568627,0.1171875,73.9556584056249,-14.462745098039216,-3.3805825242718446,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
IN,2009-01-22,-3.434466019417476,0.0025974025974025,71.38623628124772,-9.2,2.3310679611650484,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
