STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
OH,2009-01-01,-5.272972972972973,0.1335664335664335,67.62944891639516,-10.091891891891892,-0.4794642857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0
OH,2009-01-02,-1.5995535714285716,0.0368055555555555,60.50592622751605,-6.700892857142857,3.501785714285714,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
OH,2009-01-03,-1.3665178571428571,0.151048951048951,70.9782539263651,-7.242857142857143,4.509821428571429,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
OH,2009-01-04,1.2526785714285715,1.5486111111111112,80.30979819535202,-4.0008928571428575,6.5062500000000005,36.0,20.0,2.0,0.0,8.0,2.0,2.0,13.0,6.0,0.0,6.0,4.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0
OH,2009-01-05,0.8265765765765766,0.5902777777777778,73.82947841858666,-3.932432432432433,5.585585585585585,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2009-01-06,-2.071875,2.597916666666667,78.74202879258866,-4.9437500000000005,0.7999999999999999,30.0,4.0,0.0,4.0,7.0,11.0,1.0,9.0,0.0,0.0,5.0,3.0,0.0,10.0,7.0,8.0,2.0,0.0,1.0
OH,2009-01-07,-0.9810810810810812,8.72394366197183,92.01265461187263,-3.45945945945946,1.497297297297297,35.0,6.0,0.0,5.0,6.0,7.0,2.0,23.0,2.0,0.0,5.0,3.0,0.0,10.0,2.0,10.0,2.0,0.0,1.0
OH,2009-01-08,-3.851363636363636,1.7307142857142856,80.52602266551202,-7.054545454545455,-0.6223214285714286,13.0,1.0,0.0,1.0,0.0,5.0,4.0,22.0,3.0,0.0,4.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0
OH,2009-01-09,-5.339090909090909,0.9607142857142856,80.98338341545956,-7.662727272727272,-3.015454545454545,19.0,5.0,0.0,0.0,0.0,1.0,2.0,19.0,2.0,0.0,4.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,3.0
OH,2009-01-10,-3.3336363636363635,5.119858156028369,87.75113139629187,-5.641818181818182,-1.0254545454545454,30.0,15.0,1.0,6.0,6.0,7.0,1.0,8.0,2.0,0.0,2.0,4.0,1.0,10.0,6.0,8.0,1.0,0.0,1.0
