STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
SD,2009-01-01,-7.042948717948718,0.2010600706713781,72.64328777913765,-14.35705128205128,0.2711538461538461,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SD,2009-01-02,-7.850967741935484,0.0180851063829787,74.96492321585185,-15.027741935483872,-0.6741935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
SD,2009-01-03,-10.819108280254776,0.6515679442508711,78.30405313927498,-17.10636942675159,-4.531847133757962,10.0,5.0,0.0,0.0,0.0,1.0,4.0,9.0,3.0,0.0,0.0,2.0,1.0,1.0,6.0,0.0,6.0,1.0,0.0,1.0
SD,2009-01-04,-15.163694267515922,0.8926573426573426,68.88077616991289,-22.25923566878981,-8.068152866242038,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2009-01-05,-11.306687898089171,0.0624137931034482,64.00893038114309,-18.554140127388536,-4.075949367088608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2009-01-06,-6.83132911392405,0.0474048442906574,70.24213808323043,-12.696835443037974,-0.9658227848101264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
SD,2009-01-07,-7.237579617834394,0.3335616438356165,81.25522455181627,-11.777070063694268,-2.6848101265822786,11.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0
SD,2009-01-08,-7.552866242038216,0.7518900343642612,80.73639883461023,-12.745859872611463,-2.359872611464968,9.0,1.0,0.0,5.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,6.0,3.0,5.0,2.0,0.0,1.0
SD,2009-01-09,-7.215605095541401,1.1510416666666667,80.51379624628107,-13.498726114649685,-0.932484076433121,9.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,2.0,6.0,2.0,0.0,0.0
SD,2009-01-10,-9.720192307692306,0.5211469534050179,77.58036235141118,-17.118589743589745,-2.3217948717948715,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0
