STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
IA,2010-01-01,-15.850763358778629,0.0370833333333333,76.57813967134297,-20.63053435114504,-11.070992366412211,6.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0
IA,2010-01-02,-21.512213740458016,0.0518367346938775,73.64760195517258,-28.00378787878788,-15.010606060606062,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
IA,2010-01-03,-22.22824427480916,0.312863070539419,71.65405844699342,-27.37328244274809,-17.08320610687023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
IA,2010-01-04,-20.55410447761194,0.0097560975609756,75.97131147523076,-26.11268656716418,-14.995555555555557,10.0,1.0,0.0,0.0,0.0,0.0,5.0,11.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IA,2010-01-05,-19.82830882352941,0.0020242914979757,70.05528348779325,-24.79926470588235,-14.85735294117647,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2010-01-06,-17.795220588235296,2.0098765432098764,73.6471513988273,-23.341911764705884,-12.264233576642336,16.0,7.0,0.0,1.0,0.0,0.0,4.0,12.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,2.0
IA,2010-01-07,-13.490977443609022,6.468354430379747,83.05309367607757,-16.977443609022558,-10.02089552238806,17.0,4.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,2.0,6.0,0.0,0.0,7.0,0.0,7.0,4.0,0.0,4.0
IA,2010-01-08,-16.214598540145985,1.615450643776824,76.9883963812921,-20.097080291970805,-12.332116788321168,6.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,3.0,1.0,2.0,0.0,0.0,5.0,0.0,7.0,1.0,0.0,0.0
IA,2010-01-09,-19.68030303030304,0.0040816326530612,76.75873657486024,-24.21742424242424,-15.150375939849624,5.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
IA,2010-01-10,-17.844736842105263,0.0,76.26471357872123,-23.79398496240601,-11.89548872180451,6.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2010-01-11,-11.474264705882351,0.0,78.28015968235115,-17.11985294117647,-5.827007299270073,10.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
