STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT22
KS,2010-01-01,-6.954347826086957,0.0193950177935943,76.29032384856923,-12.716770186335404,-1.1919254658385094,18.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0
KS,2010-01-02,-10.067924528301887,0.0526220614828209,75.72497647887351,-14.855625,-5.3075,28.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0
KS,2010-01-03,-11.006645569620252,1.2059674502712476,80.13430018162394,-14.028930817610062,-8.001265822784811,32.0,2.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0
KS,2010-01-04,-9.69079754601227,0.2044326241134751,75.20545124347032,-13.767484662576686,-5.6141104294478525,25.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0
KS,2010-01-05,-8.720359281437126,0.02,77.06703162507172,-12.70239520958084,-4.738323353293413,41.0,3.0,0.0,1.0,0.0,2.0,1.0,10.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
KS,2010-01-06,-7.300301204819276,0.1556896551724138,80.19666861539586,-10.449397590361444,-4.089820359281437,41.0,10.0,0.0,0.0,0.0,6.0,1.0,14.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,5.0,2.0,2.0
KS,2010-01-07,-10.52638036809816,1.4695352839931153,67.37583564855325,-16.565030674846625,-4.484242424242424,13.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
KS,2010-01-08,-15.534049079754602,0.0462738301559792,64.46335778385092,-19.911585365853657,-11.160736196319018,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
KS,2010-01-09,-14.6259375,0.0025,69.84696765320656,-20.84375,-8.408125,11.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
KS,2010-01-10,-11.5246875,0.001060070671378,65.06258810879007,-19.215,-3.834375,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,2010-01-11,-3.628834355828221,0.0,66.0855777830127,-12.467484662576688,5.2098159509202455,16.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
KS,2010-01-12,-1.268674698795181,0.0022727272727272,80.06986567468257,-7.931927710843373,5.394578313253012,64.0,13.0,0.0,0.0,0.0,2.0,1.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
KS,2010-01-13,0.1018292682926829,0.0,67.97459757578495,-6.928658536585366,7.132317073170732,14.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,2010-01-14,3.4133333333333336,0.0005199306759098,77.87085303991708,-3.5424242424242425,10.400602409638552,46.0,6.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,2010-01-15,1.5692073170731708,0.0008771929824561,85.05881644855151,-4.465853658536585,7.618787878787878,60.0,15.0,0.0,0.0,0.0,0.0,2.0,10.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
KS,2010-01-16,1.1627329192546585,0.0231858407079646,83.70226668660456,-4.309259259259259,6.626708074534162,76.0,16.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
KS,2010-01-17,2.785625,0.0162790697674418,80.87689790246671,-3.663125,9.28385093167702,78.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
KS,2010-01-18,3.275776397515528,0.0071047957371225,88.41154208590031,-3.144099378881988,9.695652173913045,92.0,18.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
KS,2010-01-19,2.0664596273291926,0.0548500881834215,92.61572601787296,-2.2242236024844724,6.352469135802469,110.0,19.0,2.0,1.0,2.0,6.0,0.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,0.0,2.0
KS,2010-01-20,2.31840490797546,0.5677474402730375,87.75896995471786,-1.326219512195122,5.913496932515337,79.0,15.0,7.0,3.0,3.0,6.0,0.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
KS,2010-01-21,2.541818181818181,1.8889816360601,91.10448630684392,-0.8915151515151515,5.986144578313254,86.0,8.0,8.0,0.0,1.0,3.0,1.0,4.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
KS,2010-01-22,3.194545454545455,0.247431506849315,85.91798274957623,-0.0415662650602409,6.43855421686747,93.0,13.0,1.0,0.0,2.0,2.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
KS,2010-01-23,6.4296875,0.881551724137931,75.9620306356177,0.595625,12.26375,28.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
KS,2010-01-24,4.1815625,0.0706713780918728,67.43710204812064,-2.49375,10.856875,5.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
KS,2010-01-25,0.4009202453987731,0.0024221453287197,55.06597830954302,-4.192638036809816,4.994478527607362,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
